 pNegLeft, pPosLeft, pNegRight, pPosRight
-0.0000000029, 0.0000000058, -0.0000000028, 0.0000000023
-0.0000018374, -0.0000059465, -0.0000020561, -0.0000016105
-0.0005241014, 0.0024078576, -0.0005988106, 0.0004610077
0.0503967515, -0.2817288115, 0.0510408028, 0.0677849526
-40.7718100126, 70.0748562987, -45.7493759795, 45.4151088165

