time, targetSpeed, leftSpeed, leftCommand, rightSpeed, rightCommand
8859, 200, 0.00, 8, 0.00, 8
8870, 200, 0.00, 12, 0.00, 12
8881, 200, 0.00, 16, 0.00, 16
8892, 200, 0.00, 20, 0.00, 20
8903, 200, 0.00, 24, 0.00, 24
8914, 200, 0.00, 28, 0.00, 28
8925, 200, 0.00, 32, 0.00, 32
8936, 200, 0.00, 36, 0.00, 36
8947, 200, 0.00, 40, 0.00, 40
8958, 200, 0.00, 44, 0.00, 44
8969, 200, 0.00, 48, 0.00, 48
8980, 200, 0.00, 52, 0.04, 52
8991, 200, 0.00, 56, 0.00, 56
9002, 200, 0.00, 60, 38.33, 59
9013, 200, 0.00, 64, 50.31, 62
9024, 200, 0.00, 68, 66.43, 64
9035, 200, 0.00, 72, 82.06, 66
9046, 200, 0.00, 76, 103.58, 68
9057, 200, 0.04, 80, 118.54, 69
9068, 200, 64.33, 82, 136.33, 70
9079, 200, 97.61, 84, 149.41, 71
9090, 200, 129.75, 85, 165.10, 71
9101, 200, 150.15, 86, 179.79, 71
9112, 200, 176.83, 86, 190.48, 71
9123, 200, 195.50, 86, 200.92, 71
9134, 200, 206.65, 85, 209.78, 70
9145, 200, 227.38, 84, 221.63, 69
9156, 200, 233.75, 83, 218.29, 68
9167, 200, 248.57, 82, 233.75, 67
9178, 200, 257.60, 80, 228.00, 66
9189, 200, 255.43, 78, 234.41, 65
9200, 200, 259.81, 76, 230.36, 64
9211, 200, 261.44, 74, 233.75, 63
9222, 200, 264.13, 72, 237.08, 62
9233, 200, 265.82, 70, 225.84, 61
9244, 200, 266.67, 68, 239.12, 60
9255, 200, 260.62, 66, 230.52, 59
9266, 200, 260.01, 64, 232.45, 58
9277, 200, 257.20, 62, 225.07, 57
9288, 200, 244.20, 61, 234.74, 56
9299, 200, 246.37, 60, 222.22, 55
9310, 200, 241.90, 59, 217.30, 54
9321, 200, 227.38, 58, 203.87, 53
9332, 200, 227.69, 57, 201.17, 53
9343, 200, 216.59, 56, 200.08, 53
9354, 200, 217.16, 55, 206.27, 52
9365, 200, 206.78, 54, 204.00, 51
9376, 200, 196.54, 54, 191.68, 51
9387, 200, 190.15, 54, 188.01, 51
9398, 200, 183.65, 54, 186.01, 51
9409, 200, 177.21, 54, 183.65, 51
9420, 200, 171.82, 54, 181.16, 51
9431, 200, 167.25, 54, 174.16, 51
9442, 200, 163.56, 54, 167.42, 51
9453, 200, 160.72, 54, 170.68, 51
9464, 200, 159.80, 54, 159.34, 51
9475, 200, 151.79, 55, 157.23, 51
9486, 200, 155.11, 55, 154.54, 51
9497, 200, 153.12, 56, 160.03, 51
9508, 200, 149.08, 57, 155.55, 51
9519, 200, 149.54, 58, 152.70, 52
9530, 200, 155.26, 58, 152.28, 53
9541, 200, 149.14, 59, 158.20, 53
9552, 200, 154.97, 59, 149.61, 54
9563, 200, 155.84, 59, 149.95, 55
9574, 200, 152.14, 60, 158.20, 55
9585, 200, 155.69, 60, 155.55, 55
9596, 200, 156.72, 60, 158.65, 55
9607, 200, 161.19, 60, 160.80, 55
9618, 200, 157.90, 60, 168.61, 55
9629, 200, 161.50, 60, 160.64, 55
9640, 200, 163.40, 60, 161.42, 55
9651, 200, 164.85, 60, 157.98, 55
9662, 200, 158.96, 60, 161.58, 55
9673, 200, 160.57, 60, 161.97, 55
9684, 200, 162.60, 60, 160.26, 55
9695, 200, 162.68, 60, 161.97, 55
9706, 200, 165.51, 60, 162.28, 55
9717, 200, 160.72, 60, 170.68, 55
9728, 200, 160.80, 60, 171.12, 55
9739, 200, 168.35, 60, 164.04, 55
9750, 200, 169.20, 60, 165.43, 55
9761, 200, 170.33, 60, 165.43, 55
9772, 200, 170.94, 60, 167.08, 55
9783, 200, 167.08, 60, 173.34, 55
9794, 200, 166.42, 60, 173.07, 55
9805, 200, 165.51, 60, 169.72, 55
9816, 200, 166.58, 60, 165.02, 55
9827, 200, 165.18, 60, 166.09, 55
9838, 200, 168.78, 60, 167.08, 55
9849, 200, 168.52, 60, 167.84, 55
9860, 200, 162.28, 60, 175.16, 55
9871, 200, 166.25, 60, 176.74, 55
9882, 200, 166.50, 60, 165.26, 55
9893, 200, 168.52, 60, 164.20, 55
9904, 200, 169.89, 60, 162.36, 55
9915, 200, 164.85, 60, 161.03, 55
