time,   leftEncoder,   rightEncoder,   leftMode,   rightMode
109800,         -22752,         0,      0,      0
109805,         -22752,         0,      0,      0
109810,         -22752,         0,      0,      0
109815,         -22752,         0,      0,      0
109820,         -22752,         0,      0,      0
109825,         -22752,         0,      0,      0
109830,         -22752,         0,      0,      0
109835,         -22752,         0,      0,      0
109840,         -22752,         0,      0,      0
109845,         -22752,         0,      0,      0
109850,         -22752,         0,      0,      0
109855,         -22752,         0,      0,      0
109860,         -22752,         0,      0,      0
109865,         -22752,         0,      0,      0
109870,         -22752,         0,      0,      0
109875,         -22752,         0,      0,      0
109880,         -22752,         0,      0,      0
109885,         -22752,         0,      0,      0
109890,         -22752,         0,      0,      0
109895,         -22752,         0,      0,      0
109900,         -22752,         0,      0,      0
109905,         -22752,         0,      0,      0
109910,         -22752,         0,      0,      0
109915,         -22752,         0,      0,      0
109920,         -22752,         0,      0,      0
109925,         -22752,         0,      0,      0
109930,         -22752,         0,      0,      0
109935,         -22752,         0,      0,      0
109940,         -22752,         0,      0,      0
109945,         -22752,         0,      0,      0
109950,         -22752,         0,      0,      0
109955,         -22752,         0,      0,      0
109960,         -22752,         0,      0,      0
109965,         -22752,         0,      0,      0
109970,         -22752,         0,      0,      0
109975,         -22752,         0,      0,      0
109980,         -22752,         0,      0,      0
109985,         -22752,         0,      0,      0
109990,         -22752,         0,      0,      0
109995,         -22752,         0,      0,      0
110000,         -22752,         0,      0,      0
110005,         -22752,         0,      0,      0
110010,         -22752,         0,      0,      0
110015,         -22752,         0,      0,      0
110020,         -22752,         0,      0,      0
110025,         -22752,         0,      0,      0
110030,         -22752,         0,      0,      0
110035,         -22752,         0,      0,      0
110040,         -22752,         0,      0,      0
110045,         -22752,         0,      0,      0
110050,         -22752,         0,      0,      0
110055,         -22752,         0,      0,      0
110060,         -22752,         0,      0,      0
110065,         -22752,         0,      0,      0
110070,         -22752,         0,      0,      0
110075,         -22752,         0,      0,      0
110080,         -22752,         0,      0,      0
110085,         -22752,         0,      0,      0
110090,         -22752,         0,      0,      0
110095,         -22752,         0,      0,      0
110100,         -22752,         0,      0,      0
110105,         -22752,         0,      0,      0
110110,         -22752,         0,      0,      0
110115,         -22752,         0,      0,      0
110120,         -22752,         0,      0,      0
110125,         -22752,         0,      0,      0
110130,         -22752,         0,      0,      0
110135,         -22752,         0,      0,      0
110140,         -22752,         0,      0,      0
110145,         -22752,         0,      0,      0
110150,         -22752,         0,      0,      0
110155,         -22752,         0,      0,      0
110160,         -22752,         0,      0,      0
110165,         -22752,         0,      0,      0
110170,         -22752,         0,      0,      0
110175,         -22752,         0,      0,      0
110180,         -22752,         0,      0,      0
110185,         -22752,         0,      0,      0
110190,         -22752,         0,      0,      0
110195,         -22752,         0,      0,      0
110200,         -22752,         0,      0,      0
110205,         -22752,         0,      0,      0
110210,         -22752,         0,      0,      0
110215,         -22752,         0,      0,      0
110220,         -22752,         0,      0,      0
110225,         -22752,         0,      0,      0
110230,         -22752,         0,      0,      0
110235,         -22752,         0,      0,      0
110240,         -22752,         0,      0,      0
110245,         -22752,         0,      0,      0
110250,         -22752,         0,      0,      0
110255,         -22752,         0,      0,      0
110260,         -22752,         0,      4,      0
110265,         -22752,         0,      4,      0
110270,         -22752,         0,      4,      0
110275,         -22752,         0,      4,      0
110280,         -22752,         0,      4,      0
110285,         -22752,         0,      4,      0
110290,         -22752,         0,      4,      0
110295,         -22752,         0,      4,      0
110300,         -22753,         0,      4,      0
110305,         -22754,         0,      4,      0
110310,         -22755,         0,      4,      0
110315,         -22757,         0,      4,      0
110320,         -22760,         0,      4,      0
110325,         -22763,         0,      4,      0
110330,         -22766,         0,      4,      0
110335,         -22770,         0,      4,      0
110340,         -22774,         0,      4,      0
110345,         -22779,         0,      4,      0
110350,         -22783,         0,      4,      0
110355,         -22788,         0,      4,      0
110360,         -22793,         0,      4,      0
110365,         -22799,         0,      4,      0
110370,         -22804,         0,      4,      0
110375,         -22810,         0,      4,      0
110380,         -22817,         0,      4,      0
110385,         -22823,         0,      4,      0
110390,         -22829,         0,      4,      0
110395,         -22836,         0,      4,      0
110400,         -22843,         0,      4,      0
110405,         -22851,         0,      4,      0
110410,         -22858,         0,      4,      0
110415,         -22865,         0,      4,      0
110420,         -22873,         0,      4,      0
110425,         -22881,         0,      4,      0
110430,         -22889,         0,      4,      0
110435,         -22897,         0,      4,      0
110440,         -22905,         0,      4,      0
110445,         -22914,         0,      4,      0
110450,         -22922,         0,      4,      0
110455,         -22931,         0,      4,      0
110460,         -22939,         0,      4,      0
110465,         -22948,         0,      4,      0
110470,         -22957,         0,      4,      0
110475,         -22966,         0,      4,      0
110480,         -22975,         0,      4,      0
110485,         -22985,         0,      4,      0
110490,         -22994,         0,      4,      0
110495,         -23003,         0,      4,      0
110500,         -23013,         0,      4,      0
110505,         -23022,         0,      4,      0
110510,         -23032,         0,      4,      0
110515,         -23042,         0,      4,      0
110520,         -23051,         0,      4,      0
110525,         -23061,         0,      4,      0
110530,         -23071,         0,      4,      0
110535,         -23081,         0,      4,      0
110540,         -23091,         0,      4,      0
110545,         -23101,         0,      4,      0
110550,         -23111,         0,      4,      0
110555,         -23121,         0,      4,      0
110560,         -23132,         0,      4,      0
110565,         -23142,         0,      4,      0
110570,         -23152,         0,      4,      0
110575,         -23163,         0,      4,      0
110580,         -23173,         0,      4,      0
110585,         -23183,         0,      4,      0
110590,         -23194,         0,      4,      0
110595,         -23205,         0,      4,      0
110600,         -23215,         0,      4,      0
110605,         -23225,         0,      4,      0
110610,         -23236,         0,      4,      0
110615,         -23247,         0,      4,      0
110620,         -23257,         0,      4,      0
110625,         -23268,         0,      4,      0
110630,         -23279,         0,      4,      0
110635,         -23289,         0,      4,      0
110640,         -23300,         0,      4,      0
110645,         -23311,         0,      4,      0
110650,         -23321,         0,      4,      0
110655,         -23332,         0,      4,      0
110660,         -23343,         0,      4,      0
110665,         -23353,         0,      4,      0
110670,         -23364,         0,      4,      0
110675,         -23375,         0,      4,      0
110680,         -23386,         0,      4,      0
110685,         -23397,         0,      4,      0
110690,         -23407,         0,      4,      0
110695,         -23418,         0,      4,      0
110700,         -23429,         0,      4,      0
110705,         -23440,         0,      4,      0
110710,         -23450,         0,      4,      0
110715,         -23461,         0,      4,      0
110720,         -23472,         0,      4,      0
110725,         -23483,         0,      4,      0
110730,         -23494,         0,      4,      0
110735,         -23505,         0,      4,      0
110740,         -23515,         0,      4,      0
110745,         -23526,         0,      4,      0
110750,         -23537,         0,      4,      0
110755,         -23548,         0,      4,      0
110760,         -23559,         0,      4,      0
110765,         -23570,         0,      4,      0
110770,         -23581,         0,      4,      0
110775,         -23592,         0,      4,      0
110780,         -23603,         0,      4,      0
110785,         -23614,         0,      4,      0
110790,         -23625,         0,      4,      0
110795,         -23636,         0,      4,      0
110800,         -23647,         0,      4,      0
110805,         -23658,         0,      4,      0
110810,         -23669,         0,      4,      0
110815,         -23680,         0,      4,      0
110820,         -23691,         0,      4,      0
110825,         -23702,         0,      4,      0
110830,         -23713,         0,      4,      0
110835,         -23724,         0,      4,      0
110840,         -23735,         0,      4,      0
110845,         -23746,         0,      4,      0
110850,         -23758,         0,      4,      0
110855,         -23769,         0,      4,      0
110860,         -23780,         0,      4,      0
110865,         -23791,         0,      4,      0
110870,         -23802,         0,      4,      0
110875,         -23813,         0,      4,      0
110880,         -23824,         0,      4,      0
110885,         -23836,         0,      4,      0
110890,         -23847,         0,      4,      0
110895,         -23858,         0,      4,      0
110900,         -23869,         0,      4,      0
110905,         -23881,         0,      4,      0
110910,         -23892,         0,      4,      0
110915,         -23903,         0,      4,      0
110920,         -23914,         0,      4,      0
110925,         -23925,         0,      4,      0
110930,         -23937,         0,      4,      0
110935,         -23948,         0,      4,      0
110940,         -23959,         0,      4,      0
110945,         -23970,         0,      4,      0
110950,         -23982,         0,      4,      0
110955,         -23993,         0,      4,      0
110960,         -24004,         0,      4,      0
110965,         -24015,         0,      4,      0
110970,         -24027,         0,      4,      0
110975,         -24038,         0,      4,      0
110980,         -24049,         0,      4,      0
110985,         -24061,         0,      4,      0
110990,         -24072,         0,      4,      0
110995,         -24083,         0,      4,      0
111000,         -24095,         0,      4,      0
111005,         -24106,         0,      4,      0
111010,         -24117,         0,      4,      0
111015,         -24129,         0,      4,      0
111020,         -24140,         0,      4,      0
111025,         -24151,         0,      4,      0
111030,         -24162,         0,      4,      0
111035,         -24174,         0,      4,      0
111040,         -24185,         0,      4,      0
111045,         -24196,         0,      4,      0
111050,         -24208,         0,      4,      0
111055,         -24219,         0,      4,      0
111060,         -24230,         0,      4,      0
111065,         -24242,         0,      4,      0
111070,         -24253,         0,      4,      0
111075,         -24264,         0,      4,      0
111080,         -24276,         0,      4,      0
111085,         -24287,         0,      4,      0
111090,         -24299,         0,      4,      0
111095,         -24310,         0,      4,      0
111100,         -24321,         0,      4,      0
111105,         -24333,         0,      4,      0
111110,         -24344,         0,      4,      0
111115,         -24355,         0,      4,      0
111120,         -24367,         0,      4,      0
111125,         -24378,         0,      4,      0
111130,         -24390,         0,      4,      0
111135,         -24401,         0,      4,      0
111140,         -24413,         0,      4,      0
111145,         -24424,         0,      4,      0
111150,         -24435,         0,      4,      0
111155,         -24447,         0,      4,      0
111160,         -24458,         0,      4,      0
111165,         -24470,         0,      4,      0
111170,         -24481,         0,      4,      0
111175,         -24493,         0,      4,      0
111180,         -24504,         0,      4,      0
111185,         -24515,         0,      4,      0
111190,         -24527,         0,      4,      0
111195,         -24538,         0,      4,      0
111200,         -24550,         0,      4,      0
111205,         -24561,         0,      4,      0
111210,         -24573,         0,      4,      0
111215,         -24584,         0,      4,      0
111220,         -24596,         0,      4,      0
111225,         -24607,         0,      4,      0
111230,         -24619,         0,      4,      0
111235,         -24630,         0,      4,      0
111240,         -24642,         0,      4,      0
111245,         -24653,         0,      4,      0
111250,         -24665,         0,      4,      0
111255,         -24676,         0,      4,      0
111260,         -24688,         0,      4,      0
111265,         -24699,         0,      4,      0
111270,         -24711,         0,      4,      0
111275,         -24722,         0,      4,      0
111280,         -24734,         0,      4,      0
111285,         -24745,         0,      4,      0
111290,         -24757,         0,      4,      0
111295,         -24769,         0,      4,      0
111300,         -24780,         0,      4,      0
111305,         -24792,         0,      4,      0
111310,         -24803,         0,      4,      0
111315,         -24815,         0,      4,      0
111320,         -24827,         0,      4,      0
111325,         -24838,         0,      4,      0
111330,         -24850,         0,      4,      0
111335,         -24862,         0,      4,      0
111340,         -24873,         0,      4,      0
111345,         -24885,         0,      4,      0
111350,         -24897,         0,      4,      0
111355,         -24908,         0,      4,      0
111360,         -24920,         0,      4,      0
111365,         -24931,         0,      4,      0
111370,         -24943,         0,      4,      0
111375,         -24955,         0,      4,      0
111380,         -24967,         0,      4,      0
111385,         -24978,         0,      4,      0
111390,         -24990,         0,      4,      0
111395,         -25002,         0,      4,      0
111400,         -25013,         0,      4,      0
111405,         -25025,         0,      4,      0
111410,         -25037,         0,      4,      0
111415,         -25049,         0,      4,      0
111420,         -25060,         0,      4,      0
111425,         -25072,         0,      4,      0
111430,         -25084,         0,      4,      0
111435,         -25095,         0,      4,      0
111440,         -25107,         0,      4,      0
111445,         -25119,         0,      4,      0
111450,         -25131,         0,      4,      0
111455,         -25143,         0,      4,      0
111460,         -25154,         0,      4,      0
111465,         -25166,         0,      4,      0
111470,         -25178,         0,      4,      0
111475,         -25189,         0,      4,      0
111480,         -25201,         0,      4,      0
111485,         -25213,         0,      4,      0
111490,         -25225,         0,      4,      0
111495,         -25237,         0,      4,      0
111500,         -25249,         0,      4,      0
111505,         -25260,         0,      4,      0
111510,         -25272,         0,      4,      0
111515,         -25284,         0,      4,      0
111520,         -25295,         0,      4,      0
111525,         -25307,         0,      4,      0
111530,         -25319,         0,      4,      0
111535,         -25331,         0,      4,      0
111540,         -25343,         0,      4,      0
111545,         -25354,         0,      4,      0
111550,         -25366,         0,      4,      0
111555,         -25378,         0,      4,      0
111560,         -25390,         0,      4,      0
111565,         -25401,         0,      4,      0
111570,         -25413,         0,      4,      0
111575,         -25425,         0,      4,      0
111580,         -25437,         0,      4,      0
111585,         -25449,         0,      4,      0
111590,         -25461,         0,      4,      0
111595,         -25472,         0,      4,      0
111600,         -25484,         0,      4,      0
111605,         -25496,         0,      4,      0
111610,         -25508,         0,      4,      0
111615,         -25520,         0,      4,      0
111620,         -25531,         0,      4,      0
111625,         -25543,         0,      4,      0
111630,         -25555,         0,      4,      0
111635,         -25567,         0,      4,      0
111640,         -25579,         0,      4,      0
111645,         -25591,         0,      4,      0
111650,         -25603,         0,      4,      0
111655,         -25614,         0,      4,      0
111660,         -25626,         0,      4,      0
111665,         -25638,         0,      4,      0
111670,         -25650,         0,      4,      0
111675,         -25662,         0,      4,      0
111680,         -25674,         0,      4,      0
111685,         -25686,         0,      4,      0
111690,         -25697,         0,      4,      0
111695,         -25709,         0,      4,      0
111700,         -25721,         0,      4,      0
111705,         -25733,         0,      4,      0
111710,         -25745,         0,      4,      0
111715,         -25757,         0,      4,      0
111720,         -25768,         0,      4,      0
111725,         -25780,         0,      4,      0
111730,         -25792,         0,      4,      0
111735,         -25804,         0,      4,      0
111740,         -25815,         0,      4,      0
111745,         -25827,         0,      4,      0
111750,         -25839,         0,      4,      0
111755,         -25851,         0,      4,      0
111760,         -25863,         0,      4,      0
111765,         -25874,         0,      4,      0
111770,         -25886,         0,      4,      0
111775,         -25898,         0,      4,      0
111780,         -25909,         0,      4,      0
111785,         -25921,         0,      4,      0
111790,         -25933,         0,      4,      0
111795,         -25945,         0,      4,      0
111800,         -25957,         0,      4,      0
111805,         -25968,         0,      4,      0
111810,         -25980,         0,      4,      0
111815,         -25992,         0,      4,      0
111820,         -26004,         0,      4,      0
111825,         -26015,         0,      4,      0
111830,         -26027,         0,      4,      0
111835,         -26039,         0,      4,      0
111840,         -26051,         0,      4,      0
111845,         -26062,         0,      4,      0
111850,         -26074,         0,      4,      0
111855,         -26086,         0,      4,      0
111860,         -26098,         0,      4,      0
111865,         -26109,         0,      4,      0
111870,         -26121,         0,      4,      0
111875,         -26133,         0,      4,      0
111880,         -26145,         0,      4,      0
111885,         -26157,         0,      4,      0
111890,         -26169,         0,      4,      0
111895,         -26180,         0,      4,      0
111900,         -26192,         0,      4,      0
111905,         -26204,         0,      4,      0
111910,         -26216,         0,      4,      0
111915,         -26227,         0,      4,      0
111920,         -26239,         0,      4,      0
111925,         -26251,         0,      4,      0
111930,         -26263,         0,      4,      0
111935,         -26275,         0,      4,      0
111940,         -26287,         0,      4,      0
111945,         -26298,         0,      4,      0
111950,         -26310,         0,      4,      0
111955,         -26322,         0,      4,      0
111960,         -26334,         0,      4,      0
111965,         -26346,         0,      4,      0
111970,         -26358,         0,      4,      0
111975,         -26369,         0,      4,      0
111980,         -26381,         0,      4,      0
111985,         -26393,         0,      4,      0
111990,         -26405,         0,      4,      0
111995,         -26417,         0,      4,      0
112000,         -26429,         0,      4,      0
112005,         -26441,         0,      4,      0
112010,         -26452,         0,      4,      0
112015,         -26464,         0,      4,      0
112020,         -26476,         0,      4,      0
112025,         -26488,         0,      4,      0
112030,         -26499,         0,      4,      0
112035,         -26511,         0,      4,      0
112040,         -26523,         0,      4,      0
112045,         -26535,         0,      4,      0
112050,         -26547,         0,      4,      0
112055,         -26558,         0,      4,      0
112060,         -26570,         0,      4,      0
112065,         -26582,         0,      4,      0
112070,         -26593,         0,      4,      0
112075,         -26605,         0,      4,      0
112080,         -26617,         0,      4,      0
112085,         -26629,         0,      4,      0
112090,         -26640,         0,      4,      0
112095,         -26652,         0,      4,      0
112100,         -26664,         0,      4,      0
112105,         -26676,         0,      4,      0
112110,         -26687,         0,      4,      0
112115,         -26699,         0,      4,      0
112120,         -26711,         0,      4,      0
112125,         -26723,         0,      4,      0
112130,         -26734,         0,      4,      0
112135,         -26746,         0,      4,      0
112140,         -26758,         0,      4,      0
112145,         -26770,         0,      4,      0
112150,         -26782,         0,      4,      0
112155,         -26793,         0,      4,      0
112160,         -26805,         0,      4,      0
112165,         -26817,         0,      4,      0
112170,         -26829,         0,      4,      0
112175,         -26841,         0,      4,      0
112180,         -26852,         0,      4,      0
112185,         -26864,         0,      4,      0
112190,         -26876,         0,      4,      0
112195,         -26888,         0,      4,      0
112200,         -26900,         0,      4,      0
112205,         -26911,         0,      4,      0
112210,         -26923,         0,      4,      0
112215,         -26935,         0,      4,      0
112220,         -26947,         0,      4,      0
112225,         -26958,         0,      4,      0
112230,         -26970,         0,      4,      0
112235,         -26982,         0,      4,      0
112240,         -26994,         0,      4,      0
112245,         -27006,         0,      4,      0
112250,         -27018,         0,      4,      0
112255,         -27029,         0,      4,      0
112260,         -27041,         0,      4,      0
112265,         -27053,         0,      4,      0
112270,         -27065,         0,      4,      0
112275,         -27077,         0,      4,      0
112280,         -27088,         0,      4,      0
112285,         -27100,         0,      4,      0
112290,         -27112,         0,      4,      0
112295,         -27124,         0,      4,      0
112300,         -27136,         0,      4,      0
112305,         -27148,         0,      4,      0
112310,         -27160,         0,      4,      0
112315,         -27171,         0,      4,      0
112320,         -27183,         0,      4,      0
112325,         -27195,         0,      4,      0
112330,         -27207,         0,      4,      0
112335,         -27219,         0,      4,      0
112340,         -27231,         0,      4,      0
112345,         -27243,         0,      4,      0
112350,         -27255,         0,      4,      0
112355,         -27266,         0,      4,      0
112360,         -27278,         0,      4,      0
112365,         -27290,         0,      4,      0
112370,         -27302,         0,      4,      0
112375,         -27313,         0,      4,      0
112380,         -27325,         0,      4,      0
