time, targetSpeed, leftSpeed, leftCommand, rightSpeed, rightCommand
1776427, 0, 0.00, 0, 0.00, 0
1776429, 0, 0.00, 0, 0.00, 0
1776431, 0, 0.00, 0, 0.00, 0
1776433, 0, 0.00, 0, 0.00, 0
1776435, 0, 0.00, 0, 0.00, 0
1776437, 0, 0.00, 0, 0.00, 0
1776440, 200, 0.00, 6, 0.00, 6
1776441, 200, 0.00, 12, 0.00, 12
1776454, 200, 0.00, 18, 0.00, 18
1776456, 200, 0.00, 24, 0.00, 24
1776458, 200, 0.00, 30, 0.00, 30
1776460, 200, 0.00, 36, 0.00, 36
1776462, 200, 0.00, 42, 0.00, 42
1776464, 200, 0.00, 48, 0.00, 48
1776466, 200, 0.00, 54, 0.00, 54
1776468, 200, 0.00, 60, 0.00, 60
1776470, 200, 0.00, 66, 0.00, 66
1776472, 200, 0.00, 72, 0.00, 72
1776484, 200, 0.00, 78, 0.01, 78
1776486, 200, 0.01, 84, 45.74, 83
1776488, 200, 0.01, 90, 45.74, 88
1776490, 200, 0.01, 96, 45.74, 93
1776492, 200, 49.73, 100, 65.76, 97
1776494, 200, 49.73, 104, 65.76, 101
1776496, 200, 74.97, 108, 84.73, 104
1776498, 200, 74.97, 112, 106.94, 107
1776500, 200, 98.18, 115, 160.10, 110
1776515, 200, 174.61, 116, 175.44, 111
1776516, 200, 184.77, 116, 183.55, 111
1776518, 200, 193.69, 116, 198.29, 111
1776520, 200, 208.59, 116, 191.68, 111
1776522, 200, 210.30, 116, 201.29, 111
1776524, 200, 215.19, 115, 216.87, 110
1776526, 200, 235.40, 114, 216.45, 109
1776538, 200, 266.88, 112, 254.65, 107
1776540, 200, 271.44, 110, 267.09, 105
1776542, 200, 286.37, 107, 261.03, 103
1776544, 200, 295.77, 104, 264.34, 101
1776546, 200, 294.20, 101, 274.57, 99
1776548, 200, 299.49, 98, 284.17, 96
1776550, 200, 298.69, 95, 290.61, 93
1776563, 200, 320.20, 91, 292.40, 90
1776566, 200, 320.51, 87, 299.49, 87
1776568, 200, 329.38, 83, 308.36, 84
1776570, 200, 329.71, 79, 315.06, 80
1776572, 200, 327.12, 75, 295.51, 77
1776574, 200, 335.01, 71, 314.17, 73
1776576, 200, 334.34, 67, 302.21, 70
1776578, 200, 327.76, 63, 302.48, 67
1776580, 200, 335.35, 59, 310.08, 63
1776593, 200, 312.11, 56, 306.37, 60
1776595, 200, 313.87, 52, 301.93, 57
1776597, 200, 319.59, 48, 306.94, 54
1776599, 200, 319.59, 44, 292.65, 51
1776601, 200, 318.37, 40, 300.03, 48
1776604, 200, 307.22, 37, 298.95, 45
1776605, 200, 317.16, 33, 282.97, 42
1776607, 200, 309.50, 30, 256.81, 39
1776621, 200, 282.49, 27, 273.90, 37
1776623, 200, 270.56, 25, 263.09, 35
1776627, 200, 273.90, 23, 263.92, 33
1776629, 200, 266.88, 21, 262.47, 31
1776631, 200, 256.41, 19, 255.62, 29
1776634, 200, 258.00, 17, 238.95, 28
1776636, 200, 251.19, 15, 243.13, 27
1776638, 200, 242.95, 14, 247.10, 25
1776640, 200, 240.85, 13, 231.16, 24
1776642, 200, 238.78, 12, 239.98, 23
1776654, 200, 207.81, 12, 205.13, 23
1776656, 200, 199.60, 12, 208.07, 23
1776658, 200, 195.27, 12, 201.90, 23
1776660, 200, 195.05, 12, 198.77, 23
1776662, 200, 191.68, 12, 183.45, 23
1776664, 200, 181.95, 12, 184.98, 23
1776666, 200, 175.07, 13, 186.01, 23
1776668, 200, 169.98, 14, 179.31, 24
1776680, 200, 147.56, 15, 157.16, 25
1776683, 200, 140.94, 17, 147.75, 26
1776686, 200, 139.35, 19, 151.79, 27
1776688, 200, 134.46, 21, 140.23, 29
1776690, 200, 126.55, 23, 139.70, 31
1776692, 200, 126.17, 25, 141.66, 33
1776694, 200, 119.99, 27, 136.28, 35
1776696, 200, 119.99, 29, 129.65, 37
1776698, 200, 116.43, 31, 129.65, 39
1776712, 200, 106.60, 34, 121.34, 41
1776713, 200, 101.35, 37, 115.86, 43
1776715, 200, 101.35, 40, 120.99, 45
1776718, 200, 99.03, 43, 112.57, 47
1776720, 200, 101.94, 46, 112.57, 50
1776722, 200, 105.42, 49, 116.75, 52
1776724, 200, 105.42, 52, 121.26, 54
1776726, 200, 105.49, 55, 121.79, 56
1776728, 200, 110.38, 58, 125.79, 58
1776740, 200, 119.69, 60, 131.23, 60
1776742, 200, 119.69, 62, 131.08, 62
1776744, 200, 119.52, 64, 131.08, 64
1776746, 200, 128.30, 66, 130.72, 66
1776748, 200, 128.95, 68, 139.76, 68
1776750, 200, 133.12, 70, 134.63, 70
1776752, 200, 133.12, 72, 141.66, 72
1776764, 200, 154.18, 73, 153.26, 73
1776770, 200, 162.13, 74, 167.93, 74
1776773, 200, 175.72, 75, 165.10, 75
