time, batteryVoltage, speed, leftHighSpeed, leftLowSpeed, rightHighSpeed, rightLowSpeed
800.186, 7469, -540, -500.50, -528.26, -500.50, -531.63
801.187, 7458, -530, -500.50, -535.91, -500.00, -539.37
802.190, 7458, -520, -500.00, -527.43, -500.00, -531.63
803.191, 7469, -510, -499.50, -503.52, -499.50, -507.36
804.192, 7458, -500, -500.00, -500.50, -500.00, -515.20
805.195, 7469, -490, -500.00, -492.37, -500.00, -506.59
806.196, 7469, -480, -499.50, -473.48, -501.50, -481.00
807.199, 7458, -470, -500.00, -463.61, -500.00, -475.51
808.202, 7469, -460, -333.00, -446.23, -499.50, -475.51
809.203, 7469, -450, -499.50, -438.60, -500.50, -443.26
810.206, 7458, -440, -333.33, -431.22, -333.67, -428.45
811.209, 7458, -430, -499.50, -428.45, -499.50, -438.02
812.210, 7469, -420, -498.01, -418.24, -334.67, -405.52
813.213, 7458, -410, -333.33, -409.50, -500.00, -414.08
814.214, 7458, -400, -333.00, -393.08, -499.50, -414.08
815.215, 7458, -390, -333.33, -393.08, -500.00, -391.24
816.218, 7458, -380, -500.00, -391.70, -333.33, -383.14
817.219, 7458, -370, -333.00, -380.95, -333.67, -384.02
818.222, 7469, -360, -332.67, -347.22, -333.33, -367.51
819.225, 7458, -350, -333.33, -344.00, -333.33, -361.14
820.226, 7469, -340, -333.00, -340.48, -333.67, -347.95
821.229, 7469, -330, -333.33, -327.12, -333.33, -331.35
822.232, 7458, -320, -332.67, -330.69, -332.67, -323.62
823.233, 7458, -310, -334.67, -320.51, -333.67, -318.37
824.236, 7458, -300, -333.33, -316.26, -333.67, -302.21
825.239, 7469, -290, -333.00, -295.51, -333.00, -301.66
826.240, 7458, -280, -334.00, -290.61, -333.67, -290.87
827.242, 7469, -270, -333.33, -282.97, -333.33, -285.88
828.243, 7469, -260, -334.00, -266.24, -166.83, -267.31
829.246, 7469, -250, -334.00, -257.40, -167.00, -266.45
830.249, 7469, -240, -333.00, -252.53, -166.50, -264.97
831.250, 7469, -230, -167.34, -238.61, -166.67, -242.95
832.253, 7469, -220, -166.83, -235.74, -333.67, -235.74
833.256, 7469, -210, -332.67, -223.26, -166.33, -224.47
834.257, 7458, -200, -333.67, -206.40, -166.83, -210.44
835.260, 7469, -190, -167.17, -206.65, -166.50, -199.24
836.263, 7469, -180, -166.50, -185.70, -166.50, -196.08
837.264, 7469, -170, -166.50, -172.09, -166.83, -180.18
838.267, 7458, -160, -166.50, -172.18, -166.50, -172.71
839.268, 7469, -150, -166.50, -147.04, -166.50, -159.95
840.269, 7469, -140, -166.50, -138.66, -166.67, -152.21
841.272, 7469, -130, -166.50, -123.92, 0.00, -139.70
842.273, 7469, -120, 0.00, -112.50, -166.67, -130.26
843.276, 7458, -110, -166.67, -90.24, -166.50, -122.32
844.279, 7458, -100, 0.00, -81.92, -166.33, -112.42
845.280, 7458, -90, -166.67, -67.19, 0.00, -95.65
846.282, 7469, -80, -166.83, -59.05, -167.17, -87.21
847.285, 7469, -70, 0.00, -48.51, -166.33, -77.90
848.286, 7469, -60, 0.00, -29.05, 0.00, -66.84
849.288, 7458, -50, 0.00, -25.54, -166.50, -57.69
850.289, 7469, -40, 0.00, -22.02, 0.00, -58.13
851.290, 7469, -30, 0.00, -21.22, 0.00, -47.93
852.292, 7469, -20, 0.00, -21.22, 0.00, -35.51
853.293, 7469, -10, 0.00, -21.22, 0.00, -39.08
854.295, 7469, 0, 0.00, -28.75, 0.00, -24.84
855.297, 7480, 10, 333.00, 249.88, 0.00, 0.26
856.298, 7469, 20, 166.83, 257.60, 0.00, 0.26
