time, batteryVoltage, speed, leftHighSpeed, leftLowSpeed, rightHighSpeed, rightLowSpeed
857.300, 7469, 30, 167.00, 264.13, 0.00, 7.50
858.302, 7458, 40, 333.00, 275.25, 166.50, 42.24
859.303, 7469, 50, 166.67, 283.93, 0.00, 54.16
860.305, 7469, 60, 333.00, 288.85, 0.00, 66.57
861.306, 7469, 70, 166.50, 288.85, 166.50, 82.49
862.307, 7469, 80, 333.33, 291.63, 166.67, 100.98
863.309, 7469, 90, 332.67, 292.14, 166.33, 108.54
864.310, 7458, 100, 333.33, 292.40, 166.67, 126.50
865.312, 7469, 110, 167.00, 302.48, 0.00, 145.69
866.314, 7458, 120, 332.67, 301.66, 166.33, 147.10
867.315, 7469, 130, 333.33, 291.12, 166.67, 162.05
868.317, 7469, 140, 334.00, 291.38, 167.00, 168.86
869.319, 7469, 150, 332.67, 292.65, 166.33, 187.16
870.320, 7458, 160, 333.67, 291.89, 166.83, 196.19
871.322, 7469, 170, 166.50, 293.17, 166.50, 204.88
872.323, 7458, 180, 332.34, 291.89, 166.17, 215.19
873.325, 7458, 190, 333.67, 287.60, 333.67, 219.59
874.327, 7469, 200, 166.50, 298.15, 166.50, 229.89
875.328, 7469, 210, 166.83, 301.11, 333.67, 236.91
876.330, 7469, 220, 166.50, 300.57, 166.50, 259.00
877.332, 7469, 230, 333.00, 293.69, 333.00, 265.60
878.333, 7458, 240, 332.67, 304.97, 332.67, 263.92
879.335, 7469, 250, 332.67, 299.22, 332.67, 284.41
880.337, 7469, 260, 333.00, 298.42, 333.00, 293.69
881.338, 7469, 270, 166.67, 310.66, 333.33, 292.14
882.340, 7469, 280, 333.00, 315.06, 333.00, 296.56
883.341, 7469, 290, 333.33, 311.24, 333.33, 308.36
884.343, 7469, 300, 333.33, 327.76, 333.33, 318.67
885.345, 7469, 310, 333.00, 330.03, 333.00, 330.36
886.346, 7458, 320, 333.33, 331.35, 500.00, 328.08
887.348, 7469, 330, 333.33, 348.31, 333.33, 347.22
888.350, 7469, 340, 333.00, 354.61, 333.00, 353.11
889.351, 7458, 350, 498.50, 365.50, 333.67, 361.93
890.353, 7469, 360, 333.00, 383.14, 333.00, 390.78
891.354, 7469, 370, 499.00, 392.16, 332.67, 381.83
892.355, 7458, 380, 499.50, 391.70, 333.00, 402.09
893.357, 7469, 390, 333.33, 403.55, 333.33, 413.05
894.358, 7480, 400, 333.33, 420.34, 500.00, 420.88
895.360, 7458, 410, 500.00, 419.29, 333.00, 418.76
896.362, 7458, 420, 500.00, 448.03, 500.00, 434.59
897.363, 7469, 430, 500.00, 457.88, 333.33, 435.73
898.365, 7458, 440, 334.34, 459.14, 501.50, 465.55
899.367, 7469, 450, 499.50, 486.62, 499.50, 452.90
900.368, 7458, 460, 499.50, 490.20, 499.50, 483.79
901.370, 7469, 470, 500.00, 481.70, 500.00, 494.56
902.371, 7458, 480, 500.50, 507.36, 500.50, 478.93
903.372, 7469, 490, 500.00, 522.47, 333.33, 511.25
904.374, 7469, 500, 500.00, 524.11, 500.00, 531.63
905.375, 7469, 510, 500.00, 535.05, 500.50, 537.63
906.377, 7458, 520, 500.50, 545.55, 500.50, 525.76
907.379, 7458, 530, 500.00, 555.56, 500.00, 560.22
908.380, 7458, 540, 668.67, 560.22, 500.50, 540.25
909.382, 7458, 550, 499.50, 565.93, 666.00, 574.71
