time,   voltage,    leftMode,    rightMode
5910,   3832,   0,      0
5915,   3993,   0,      0
5920,   3821,   0,      0
5925,   3864,   0,      0
5930,   3756,   0,      0
5935,   3778,   0,      0
5940,   3778,   0,      0
5945,   3993,   0,      0
5950,   3778,   0,      0
5955,   3756,   0,      0
5960,   3982,   0,      0
5965,   3778,   0,      0
5970,   3735,   0,      0
5975,   3713,   0,      0
5980,   3756,   0,      0
5985,   3756,   0,      0
5990,   3713,   0,      0
5995,  3778,   0,      0
6000,   3746,   0,      0
6005,   3832,   0,      0
6010,   3756,   0,      0
6015,   3778,   0,      0
6020,   3746,   0,      0
6025,   3746,   0,      0
6030,   3724,   0,      0
6035,   3746,   0,      0
6040,   3713,   0,      0
6045,   3756,   0,      0
6050,   3810,   0,      0
6055,   3821,   0,      0
6060,   3746,   0,      0
6065,   3756,   0,      0
6070,   3735,   0,      0
6075,   3778,   0,      0
6080,   3724,   0,      0
6085,   3929,   0,      0
6090,   3821,   0,      0
6095,   3746,   0,      0
6100,   3756,   0,      0
6105,   3756,   0,      0
6110,   3713,   0,      0
6115,   3713,   0,      0
6120,   3724,   0,      0
6125,   3746,   0,      0
6130,   3821,   0,      0
6135,   3778,   0,      0
6140,   3735,   0,      0
6145,   3746,   0,      0
6150,   3864,   0,      0
6155,   3746,   0,      0
6160,   3821,   0,      0
6165,   3864,   0,      0
6170,   3735,   0,      0
6175,   3746,   0,      0
6180,   3799,   0,      0
6185,   3746,   0,      0
6190,   3961,   0,      0
6195,   3778,   0,      0
6200,   3832,   0,      0
6205,   4004,   0,      0
6210,   3821,   0,      0
6215,   3713,   0,      0
6220,   3886,   0,      0
6225,   3390,   4,      0
6230,   3563,   4,      0
6235,   3584,   4,      0
6240,   3982,   4,      0
6245,   3563,   4,      0
6250,   4047,   4,      0
6255,   3961,   4,      0
6260,   3713,   4,      0
6265,   3670,   4,      0
6270,   4209,   4,      0
6275,   4047,   4,      0
6280,   3972,   4,      0
6285,   4090,   4,      0
6290,   4209,   4,      0
6295,   3993,   4,      0
6300,   3616,   4,      0
6305,   3692,   4,      0
6310,   3649,   4,      0
6315,   3089,   4,      0
6320,   4026,   4,      0
6325,   4112,   4,      0
6330,   3649,   4,      0
6335,   3584,   4,      0
6340,   3778,   4,      0
6345,   4112,   4,      0
6350,   3972,   4,      0
6355,   3638,   4,      0
6360,   3713,   4,      0
6365,   4015,   4,      0
6370,   4133,   4,      0
6375,   3649,   4,      0
6380,   3638,   4,      0
6385,   4026,   4,      0
6390,   3692,   4,      0
6395,   3638,   4,      0
6400,   4036,   4,      0
6405,   4112,   4,      0
6410,   3649,   4,      0
6415,   4015,   4,      0
6420,   4230,   4,      0
6425,   3638,   4,      0
6430,   4209,   4,      0
6435,   4026,   4,      0
6440,   3563,   4,      0
6445,   4026,   4,      0
6450,   3649,   4,      0
6455,   4241,   4,      0
6460,   4058,   4,      0
6465,   3907,   4,      0
6470,   3993,   4,      0
6475,   3993,   4,      0
6480,   3703,   4,      0
6485,   4015,   4,      0
6490,   3670,   4,      0
6495,   3616,   4,      0
6500,   3993,   4,      0
6505,   3670,   4,      0
6510,   3972,   4,      0
6515,   4026,   4,      0
6520,   3832,   4,      0
6525,   4026,   4,      0
6530,   3724,   4,      0
6535,   3616,   4,      0
6540,   4209,   4,      0
6545,   3649,   4,      0
6550,   4079,   4,      0
6555,   3670,   4,      0
6560,   3649,   4,      0
6565,   4026,   4,      0
6570,   3584,   4,      0
6575,   4090,   4,      0
6580,   3670,   4,      0
6585,   4026,   4,      0
6590,   4112,   4,      0
6595,   3821,   4,      0
6600,   3982,   4,      0
6605,   3864,   4,      0
6610,   3713,   4,      0
6615,   4090,   4,      0
6620,   3616,   4,      0
6625,   4047,   4,      0
6630,   3692,   4,      0
6635,   3616,   4,      0
6640,   4058,   4,      0
6645,   3713,   4,      0
6650,   3982,   4,      0
6655,   3724,   4,      0
6660,   4165,   4,      0
6665,   3670,   4,      0
6670,   3713,   4,      0
6675,   4004,   4,      0
6680,   3670,   4,      0
6685,   4015,   4,      0
6690,   3670,   4,      0
6695,   3789,   4,      0
6700,   4015,   4,      0
6705,   3595,   4,      0
6710,   4015,   4,      0
6715,   3681,   4,      0
6720,   4015,   4,      0
6725,   3616,   4,      0
6730,   3649,   4,      0
6735,   3972,   4,      0
6740,   3832,   4,      0
6745,   4026,   4,      0
6750,   3670,   4,      0
6755,   3972,   4,      0
6760,   3649,   4,      0
6765,   3982,   4,      0
6770,   3692,   4,      0
6775,   3616,   4,      0
6780,   4122,   4,      0
6785,   3616,   4,      0
6790,   3982,   4,      0
6795,   3616,   4,      0
6800,   4015,   4,      0
6805,   3616,   4,      0
6810,   4090,   4,      0
6815,   4036,   4,      0
6820,   3972,   4,      0
6825,   3713,   4,      0
6830,   3950,   4,      0
6835,   3681,   4,      0
6840,   3670,   4,      0
6845,   3972,   4,      0
6850,   3670,   4,      0
6855,   4015,   4,      0
6860,   3670,   4,      0
6865,   4004,   4,      0
6870,   3660,   4,      0
6875,   3993,   4,      0
6880,   3789,   4,      0
6885,   4026,   4,      0
6890,   3670,   4,      0
6895,   3616,   4,      0
6900,   3961,   4,      0
6905,   3692,   4,      0
6910,   4144,   4,      0
6915,   3584,   4,      0
6920,   3972,   4,      0
6925,   3638,   4,      0
6930,   4079,   4,      0
6935,   3692,   4,      0
6940,   4004,   4,      0
6945,   3778,   4,      0
6950,   4144,   4,      0
6955,   3799,   4,      0
6960,   3616,   4,      0
6965,   4004,   4,      0
6970,   3649,   4,      0
6975,   3972,   4,      0
6980,   3649,   4,      0
6985,   3982,   4,      0
6990,   3660,   4,      0
6995,   4004,   4,      0
7000,   3681,   4,      0
7005,   3972,   4,      0
7010,   3703,   4,      0
7015,   3993,   4,      0
7020,   3681,   4,      0
7025,   4112,   4,      0
7030,   3638,   4,      0
7035,   3692,   4,      0
7040,   4133,   4,      0
7045,   3649,   4,      0
7050,   4004,   4,      0
7055,   3864,   0,      0
7060,   4090,   0,      0
7065,   3778,   0,      0
7070,   4004,   0,      0
7075,   4144,   0,      0
7080,   4112,   0,      0
7085,   4079,   0,      0
7090,   3746,   0,      0
7095,   4090,   0,      0
7100,   3746,   0,      0
7105,   3746,   0,      0
7110,   3821,   0,      0
7115,   3703,   0,      0
7120,   3756,   0,      0
7125,   3713,   0,      0
7130,   3918,   0,      0
7135,   3724,   0,      0
7140,   3789,   0,      0
7145,   3713,   0,      0
7150,   3756,   0,      0
7155,   3864,   0,      0
7160,   3756,   0,      0
7165,   3832,   0,      0
7170,   3961,   0,      0
7175,   3821,   0,      0
7180,   3832,   0,      0
7185,   3993,   0,      0
7190,   3713,   0,      0
7195,   3961,   0,      0
7200,   3746,   0,      0
7205,   3692,   0,      0
7210,   3724,   0,      0
7215,   3713,   0,      0
7220,   3746,   0,      0
7225,   3961,   0,      0
7230,   3982,   0,      0
7235,   3756,   0,      0
7240,   3724,   0,      0
7245,   3724,   0,      0
7250,   3713,   0,      0
7255,   3724,   0,      0
7260,   3756,   0,      0
7265,   3735,   0,      0
7270,   3972,   0,      0
7275,   3713,   0,      0
7280,   3713,   0,      0
7285,   3821,   0,      0
7290,   3961,   0,      0
7295,   3713,   0,      0
7300,   3821,   0,      0
7305,   3724,   0,      0
7310,   3713,   0,      0
7315,   3778,   0,      0
7320,   3821,   0,      0
7325,   3713,   0,      0
7330,   3821,   0,      0
7335,   3713,   0,      0
7340,   3735,   0,      0
7345,   3756,   0,      0
7350,   3713,   0,      0
7355,   3972,   0,      0
7360,   3724,   0,      0
7365,   3907,   0,      0
7370,   3756,   0,      0
7375,   3724,   0,      0
7380,   3756,   0,      0
7385,   3832,   0,      0
7390,   3724,   0,      0
7395,   3778,   0,      0
7400,   3746,   0,      0
7405,   3746,   0,      0
7410,   3746,   0,      0
7415,   3724,   0,      0
7420,   3713,   0,      0
7425,   3746,   0,      0
7430,   3724,   0,      0
7435,   3756,   0,      0
7440,   3713,   0,      0
7445,   3713,   0,      0
7450,   3810,   0,      0
7455,   3724,   0,      0
7460,   3746,   0,      0
7465,   3713,   0,      0
7470,   3756,   0,      0
7475,   3821,   0,      0
7480,   3756,   0,      0
7485,   3756,   0,      0
7490,   3778,   0,      0
7495,   3799,   0,      0
7500,   3982,   0,      0
7505,   3864,   0,      0
7510,   3756,   0,      0
7515,   3746,   0,      0
7520,   3778,   0,      0
