time, batteryVoltage, motorCommand, leftSpeedRpm, rightSpeedRpm
21.689, 7425, -250, -572.74, -602.77
22.691, 7436, -245, -555.56, -585.82
23.691, 7425, -240, -559.28, -598.44
24.693, 7436, -235, -568.83, -598.44
25.693, 7436, -230, -558.35, -572.74
26.693, 7425, -225, -545.55, -603.86
27.695, 7425, -220, -554.63, -597.37
28.695, 7436, -215, -557.41, -579.71
29.697, 7436, -210, -546.45, -585.82
30.699, 7425, -205, -571.76, -574.71
31.699, 7436, -200, -539.37, -577.70
32.701, 7425, -195, -542.89, -550.06
33.703, 7425, -190, -537.63, -546.45
34.703, 7436, -185, -534.19, -555.56
35.705, 7425, -180, -545.55, -562.11
36.707, 7414, -175, -513.61, -529.94
37.707, 7447, -170, -508.91, -559.28
38.709, 7425, -165, -506.59, -543.77
39.709, 7425, -160, -521.65, -537.63
40.710, 7425, -155, -502.01, -524.11
41.712, 7425, -150, -491.64, -516.80
42.712, 7425, -145, -481.70, -502.77
43.714, 7447, -140, -463.61, -483.79
44.716, 7447, -135, -464.90, -496.03
45.716, 7447, -130, -459.14, -461.68
46.718, 7425, -125, -458.51, -476.87
47.720, 7436, -120, -438.02, -447.43
48.720, 7425, -115, -425.17, -421.94
49.722, 7425, -110, -424.63, -424.09
50.722, 7447, -105, -403.55, -410.00
51.722, 7425, -100, -381.83, -390.32
52.724, 7436, -95, -363.11, -384.02
53.724, 7447, -90, -348.31, -367.11
54.726, 7447, -85, -329.06, -337.04
55.728, 7447, -80, -315.06, -298.95
56.728, 7425, -75, -283.21, -276.17
57.730, 7436, -70, -257.40, -250.82
58.732, 7425, -65, -224.92, -211.64
59.732, 7447, -60, -182.55, -179.79
60.734, 7436, -55, -142.51, -131.60
61.736, 7425, -50, -100.01, -87.97
62.736, 7447, -45, -40.96, -38.70
63.737, 7436, -40, -2.73, -11.15
64.737, 7425, -35, -2.73, -11.15
65.737, 7436, -30, -2.73, -11.15
66.738, 7447, -25, -2.73, -11.15
67.738, 7447, -20, -2.73, -11.15
68.739, 7447, -15, -2.73, -11.15
69.740, 7447, -10, -2.73, -11.15
70.740, 7447, -5, -2.73, -11.15
71.741, 7436, 0, -2.73, -11.15
72.742, 7447, 5, -2.73, -11.15
73.742, 7414, 10, -2.73, -11.15
74.743, 7447, 15, -2.73, -11.15
75.743, 7436, 20, -2.73, -11.15
76.744, 7447, 25, -2.73, -11.15
77.745, 7436, 30, 0.00, -11.15
78.745, 7447, 35, 0.00, -11.15
79.746, 7447, 40, 0.00, -11.15
80.747, 7436, 45, 0.00, 12.34
81.747, 7447, 50, 0.00, 73.76
82.748, 7447, 55, 0.00, 123.73
83.749, 7425, 60, 0.00, 167.34
84.749, 7425, 65, 0.00, 214.64
85.750, 7447, 70, 0.00, 244.74
86.750, 7425, 75, 214.36, 276.63
87.751, 7425, 80, 249.69, 300.84
88.752, 7436, 85, 285.14, 333.33
89.752, 7425, 90, 315.96, 377.93
90.753, 7447, 95, 325.20, 374.95
91.754, 7436, 100, 357.27, 408.50
92.754, 7436, 105, 373.27, 438.02
93.755, 7436, 110, 397.77, 428.45
94.756, 7436, 115, 404.04, 446.23
95.756, 7436, 120, 421.94, 490.20
96.757, 7447, 125, 418.76, 472.14
97.757, 7425, 130, 449.24, 485.20
98.758, 7447, 135, 459.77, 495.29
99.759, 7436, 140, 471.48, 504.29
100.759, 7425, 145, 495.29, 521.65
101.760, 7436, 150, 499.00, 524.11
102.761, 7447, 155, 488.76, 538.50
103.761, 7436, 160, 521.65, 577.70
104.763, 7447, 165, 532.48, 549.15
105.764, 7447, 170, 537.63, 566.89
106.764, 7447, 175, 529.10, 571.76
107.766, 7447, 180, 540.25, 570.78
108.766, 7436, 185, 556.48, 571.76
109.767, 7447, 190, 550.06, 620.73
110.768, 7436, 195, 557.41, 593.12
111.768, 7425, 200, 572.74, 589.97
112.769, 7436, 205, 561.17, 588.93
113.770, 7425, 210, 562.11, 600.60
114.770, 7425, 215, 574.71, 594.18
115.771, 7425, 220, 596.30, 601.68
116.771, 7425, 225, 604.96, 611.62
117.771, 7425, 230, 592.07, 607.16
118.772, 7447, 235, 589.97, 606.06
119.772, 7447, 240, 601.68, 628.93
120.773, 7425, 245, 586.85, 633.71
121.774, 7447, 250, 610.50, 632.51
122.774, 7425, 255, 623.05, 648.51
