time, targetSpeed, leftSpeed, leftCommand, rightSpeed, rightCommand
5902, 200, 0.00, 4, 0.00, 4
5905, 200, 0.00, 8, 0.00, 8
5907, 200, 0.00, 12, 0.00, 12
5909, 200, 0.00, 16, 0.00, 16
5911, 200, 0.00, 20, 0.00, 20
5923, 200, 0.00, 24, 0.00, 24
5925, 200, 0.00, 28, 0.00, 28
5927, 200, 0.00, 32, 0.00, 32
5929, 200, 0.00, 36, 0.00, 36
5931, 200, 0.00, 40, 0.00, 40
5933, 200, 0.00, 44, 0.00, 44
5935, 200, 0.00, 48, 0.00, 48
5937, 200, 0.00, 52, 0.00, 52
5939, 200, 0.00, 56, 0.00, 56
5941, 200, 0.00, 60, 0.00, 60
5943, 200, 0.00, 64, 0.00, 64
5945, 200, 0.00, 68, 0.00, 68
5947, 200, 0.00, 72, 0.00, 72
5949, 200, 0.00, 76, 0.00, 76
5961, 200, 0.06, 80, 37.48, 79
5963, 200, 0.06, 84, 37.48, 82
5965, 200, 0.06, 88, 61.11, 84
5967, 200, 0.06, 92, 61.11, 86
5969, 200, 41.45, 95, 74.39, 88
5971, 200, 41.45, 98, 74.39, 90
5973, 200, 67.34, 100, 89.39, 92
5975, 200, 67.34, 102, 105.02, 93
5977, 200, 88.44, 104, 105.02, 94
5979, 200, 88.44, 106, 115.02, 95
5981, 200, 105.89, 107, 121.97, 96
5993, 200, 156.57, 107, 164.20, 96
5995, 200, 165.02, 107, 164.45, 96
5997, 200, 175.44, 107, 178.73, 96
5999, 200, 174.43, 107, 174.98, 96
6001, 200, 187.37, 107, 182.25, 96
6003, 200, 191.79, 107, 194.93, 96
6005, 200, 199.72, 107, 192.90, 96
6007, 200, 206.91, 106, 207.43, 95
6009, 200, 201.65, 105, 200.20, 95
6021, 200, 237.59, 104, 238.95, 94
6023, 200, 245.82, 103, 234.08, 93
6025, 200, 246.18, 102, 247.28, 92
6027, 200, 256.61, 100, 245.64, 91
6029, 200, 255.82, 98, 254.07, 89
6031, 200, 265.39, 96, 247.65, 88
6033, 200, 260.42, 94, 262.67, 86
6035, 200, 266.88, 92, 259.61, 84
6037, 200, 268.60, 90, 266.45, 82
6049, 200, 284.66, 88, 261.85, 80
6051, 200, 283.45, 86, 276.63, 78
6053, 200, 288.35, 84, 274.12, 76
6055, 200, 280.35, 82, 279.41, 74
6057, 200, 283.69, 80, 265.39, 72
6059, 200, 288.35, 78, 279.17, 70
6061, 200, 290.61, 76, 269.03, 68
6063, 200, 290.36, 74, 281.77, 66
6065, 200, 284.41, 72, 270.56, 64
6067, 200, 289.86, 70, 270.34, 62
6079, 200, 275.25, 68, 257.00, 60
6081, 200, 280.82, 66, 274.35, 58
6083, 200, 271.44, 64, 264.97, 56
6085, 200, 274.57, 62, 269.25, 54
6087, 200, 272.33, 60, 259.61, 52
6089, 200, 278.24, 58, 265.18, 50
6091, 200, 275.71, 56, 253.87, 48
6093, 200, 268.17, 54, 263.30, 46
6095, 200, 271.44, 52, 251.19, 44
6107, 200, 257.00, 50, 231.64, 43
6109, 200, 250.06, 49, 241.55, 42
6111, 200, 250.44, 48, 228.31, 41
6113, 200, 244.38, 47, 236.91, 40
6115, 200, 248.20, 46, 231.16, 39
6117, 200, 241.90, 45, 221.48, 38
6119, 200, 243.13, 44, 216.17, 37
6121, 200, 241.02, 43, 219.01, 36
6123, 200, 239.98, 42, 221.48, 35
6125, 200, 232.13, 41, 209.64, 34
6137, 200, 216.87, 40, 199.72, 34
6139, 200, 207.43, 39, 187.06, 34
6141, 200, 211.51, 38, 187.79, 34
6143, 200, 204.25, 37, 190.37, 34
6145, 200, 201.90, 36, 187.16, 34
6147, 200, 204.25, 35, 184.06, 34
6149, 200, 194.93, 35, 170.24, 34
6151, 200, 196.89, 35, 172.18, 34
6153, 200, 189.93, 35, 174.70, 34
6165, 200, 170.68, 35, 154.04, 34
