time, targetSpeed, leftSpeed, leftCommand, rightSpeed, rightCommand
219.202, 300, 0.00, 6, 0.00, 6
219.212, 300, 0.00, 12, 0.00, 12
219.223, 300, 0.00, 18, 0.00, 18
219.234, 300, 0.00, 24, 0.00, 24
219.245, 300, 0.00, 30, 0.00, 30
219.256, 300, 0.00, 36, 0.00, 36
219.267, 300, 0.00, 42, 0.00, 42
219.278, 300, 0.00, 48, 0.00, 48
219.289, 300, 0.00, 54, 0.00, 54
219.300, 300, 0.00, 60, 0.00, 60
219.311, 300, 0.00, 66, 16.67, 66
219.322, 300, 0.00, 72, 16.67, 72
219.333, 300, 16.67, 78, 50.00, 77
219.344, 300, 16.67, 84, 100.00, 81
219.355, 300, 66.66, 89, 99.99, 85
219.366, 300, 66.67, 94, 133.35, 88
219.377, 300, 116.67, 98, 150.00, 91
219.388, 300, 150.00, 101, 183.33, 93
219.399, 300, 166.67, 104, 200.00, 95
219.410, 300, 200.00, 106, 216.67, 97
219.421, 300, 216.67, 108, 233.33, 98
219.432, 300, 250.00, 109, 266.67, 99
219.443, 300, 266.67, 110, 266.67, 100
219.454, 300, 300.00, 110, 300.00, 100
219.465, 300, 316.67, 110, 316.67, 100
219.476, 300, 333.37, 109, 333.37, 99
219.487, 300, 333.30, 108, 333.30, 98
219.498, 300, 366.67, 107, 333.33, 97
219.509, 300, 350.00, 106, 350.00, 96
219.520, 300, 366.67, 105, 350.00, 95
219.531, 300, 366.67, 104, 350.00, 94
219.542, 300, 366.67, 103, 366.67, 93
219.553, 300, 366.67, 102, 350.00, 92
219.564, 300, 383.33, 100, 350.00, 91
219.575, 300, 383.30, 98, 366.63, 90
219.586, 300, 366.70, 97, 366.70, 89
219.597, 300, 383.33, 95, 366.67, 88
219.608, 300, 383.33, 93, 366.67, 87
219.619, 300, 366.67, 92, 366.67, 86
219.630, 300, 383.33, 90, 350.00, 85
219.641, 300, 366.67, 89, 366.67, 84
219.652, 300, 366.67, 88, 366.67, 83
219.663, 300, 383.33, 86, 350.00, 82
219.674, 300, 350.00, 85, 350.00, 81
219.685, 300, 366.63, 84, 349.97, 80
219.696, 300, 350.04, 83, 350.04, 79
219.707, 300, 366.67, 82, 350.00, 78
219.718, 300, 350.00, 81, 333.33, 77
219.729, 300, 350.00, 80, 350.00, 76
219.740, 300, 350.00, 79, 333.33, 75
219.751, 300, 333.33, 78, 333.33, 74
219.762, 300, 350.00, 77, 333.33, 73
219.773, 300, 333.33, 76, 333.33, 72
219.784, 300, 333.33, 75, 316.67, 72
219.795, 300, 316.64, 75, 316.64, 72
219.806, 300, 316.73, 75, 316.73, 72
219.817, 300, 316.67, 75, 316.67, 72
219.828, 300, 316.67, 75, 316.67, 72
219.839, 300, 300.00, 75, 300.00, 72
219.850, 300, 300.00, 75, 300.00, 72
219.861, 300, 316.67, 75, 316.67, 72
219.872, 300, 300.00, 75, 300.00, 72
219.883, 300, 283.33, 75, 300.00, 72
219.894, 300, 299.97, 75, 299.97, 72
219.905, 300, 283.33, 75, 300.00, 72
219.916, 300, 300.03, 75, 283.36, 72
219.927, 300, 299.97, 75, 299.97, 72
219.938, 300, 283.36, 75, 300.03, 72
219.949, 300, 283.33, 75, 283.33, 72
219.960, 300, 283.33, 75, 300.00, 72
219.971, 300, 283.33, 75, 283.33, 72
219.982, 300, 300.00, 75, 300.00, 72
219.993, 300, 283.33, 75, 283.33, 72
220.004, 300, 266.64, 76, 299.97, 72
220.015, 300, 299.97, 76, 283.31, 72
220.026, 300, 266.72, 77, 283.39, 72
220.037, 300, 283.31, 77, 299.97, 72
220.048, 300, 283.36, 77, 283.36, 72
220.059, 300, 283.33, 77, 283.33, 72
220.070, 300, 283.33, 77, 283.33, 72
220.081, 300, 300.00, 77, 283.33, 72
220.092, 300, 283.33, 77, 300.00, 72
220.103, 300, 283.33, 77, 283.33, 72
220.114, 300, 283.31, 77, 283.31, 72
220.125, 300, 283.33, 77, 283.33, 72
220.136, 300, 300.03, 77, 300.03, 72
220.147, 300, 283.33, 77, 283.33, 72
220.158, 300, 283.33, 77, 283.33, 72
220.169, 300, 283.33, 77, 283.33, 72
220.180, 300, 300.00, 77, 283.33, 72
220.191, 300, 283.33, 77, 283.33, 72
220.202, 300, 283.33, 77, 283.33, 72
220.213, 300, 283.33, 77, 300.00, 72
220.224, 300, 299.97, 77, 299.97, 72
220.235, 300, 283.33, 77, 283.33, 72
220.246, 300, 283.36, 77, 283.36, 72
220.257, 300, 283.33, 77, 283.33, 72
220.268, 300, 283.33, 77, 283.33, 72
220.279, 300, 300.00, 77, 283.33, 72
220.290, 300, 283.33, 77, 283.33, 72
220.301, 300, 283.33, 77, 283.33, 72
220.312, 300, 300.00, 77, 283.33, 72
220.323, 300, 283.33, 77, 283.33, 72
220.334, 300, 299.97, 77, 299.97, 72
220.345, 300, 283.33, 77, 266.67, 73
220.356, 300, 300.00, 77, 300.00, 73
220.367, 300, 283.36, 77, 283.36, 73
220.378, 300, 300.00, 77, 283.33, 73
220.389, 300, 283.33, 77, 283.33, 73
220.400, 300, 283.33, 77, 300.00, 73
220.411, 300, 300.00, 77, 283.33, 73
220.422, 300, 283.33, 77, 283.33, 73
220.433, 300, 300.00, 77, 283.33, 73
220.444, 300, 299.97, 77, 283.31, 73
220.455, 300, 283.33, 77, 300.00, 73
220.466, 300, 300.03, 77, 283.36, 73
220.477, 300, 283.33, 77, 283.33, 73
220.488, 300, 300.00, 77, 300.00, 73
220.499, 300, 283.33, 77, 283.33, 73
220.510, 300, 300.00, 77, 300.00, 73
220.521, 300, 283.33, 77, 283.33, 73
220.532, 300, 300.00, 77, 283.33, 73
220.543, 300, 300.00, 77, 300.00, 73
220.554, 300, 299.97, 77, 283.31, 73
220.565, 300, 300.00, 77, 300.00, 73
220.576, 300, 283.36, 77, 283.36, 73
220.587, 300, 300.00, 77, 300.00, 73
220.598, 300, 283.33, 77, 283.33, 73
220.609, 300, 300.00, 77, 300.00, 73
220.620, 300, 283.33, 77, 283.33, 73
220.631, 300, 299.97, 77, 299.97, 73
220.642, 300, 300.03, 77, 283.36, 73
220.653, 300, 283.33, 77, 300.00, 73
220.664, 300, 283.31, 77, 283.31, 73
220.675, 300, 300.00, 77, 300.00, 73
