time, batteryVoltage, motorCommand, leftSpeedRpm, rightSpeedRpm
17800, 7931, -254, -626.67, -648.33
18900, 7931, -253, -635.00, -660.00
20000, 7953, -252, -640.00, -653.33
21100, 7942, -251, -636.67, -658.33
22200, 7931, -250, -631.67, -656.67
23300, 7931, -249, -636.67, -651.67
24400, 7920, -248, -630.00, -650.00
25500, 7931, -247, -630.00, -641.67
26600, 7931, -246, -620.00, -646.67
27700, 7931, -245, -621.67, -640.00
28800, 7931, -244, -613.33, -640.00
29900, 7931, -243, -593.33, -641.67
31000, 7931, -242, -591.67, -641.67
32100, 7931, -241, -605.00, -643.33
33200, 7931, -240, -616.67, -641.67
34300, 7931, -239, -611.67, -645.00
35400, 7931, -238, -611.67, -643.33
36500, 7931, -237, -625.00, -641.67
37600, 7942, -236, -626.67, -643.33
38700, 7931, -235, -628.33, -643.33
39800, 7931, -234, -633.33, -646.67
40900, 7931, -233, -623.33, -646.67
42000, 7931, -232, -633.33, -646.67
43100, 7931, -231, -633.33, -650.00
44200, 7931, -230, -633.33, -648.33
45300, 7931, -229, -633.33, -648.33
46400, 7942, -228, -633.33, -648.33
47500, 7953, -227, -635.00, -648.33
48600, 7964, -226, -630.00, -650.00
49700, 7931, -225, -633.33, -648.33
50800, 7931, -224, -625.00, -646.67
51900, 7931, -223, -633.33, -648.33
53000, 7931, -222, -633.33, -650.00
54100, 7953, -221, -635.00, -650.00
55200, 7931, -220, -630.00, -648.33
56300, 7953, -219, -628.33, -650.00
57400, 7931, -218, -630.00, -650.00
58500, 7931, -217, -626.67, -650.00
59600, 7931, -216, -626.67, -650.00
60700, 7942, -215, -623.33, -648.33
61800, 7942, -214, -628.33, -650.00
62900, 7931, -213, -625.00, -651.67
64000, 7931, -212, -626.67, -646.67
65100, 7931, -211, -630.00, -650.00
66200, 7931, -210, -630.00, -648.33
67300, 7931, -209, -631.67, -650.00
68400, 7942, -208, -630.00, -650.00
69500, 7931, -207, -628.33, -646.67
70600, 7931, -206, -626.67, -648.33
71700, 7953, -205, -621.67, -648.33
72800, 7931, -204, -623.33, -648.33
73900, 7931, -203, -621.67, -646.67
75000, 7931, -202, -620.00, -645.00
76100, 7931, -201, -620.00, -645.00
77200, 7931, -200, -618.33, -643.33
78300, 7931, -199, -623.33, -643.33
79400, 7931, -198, -625.00, -643.33
80500, 7931, -197, -621.67, -640.00
81600, 7931, -196, -615.00, -640.00
82700, 7953, -195, -620.00, -638.33
