time, targetSpeed, leftSpeed, leftCommand, rightSpeed, rightCommand
507561, 200, 0.00, 12, 0.00, 12
507563, 200, 0.00, 24, 0.00, 24
507565, 200, 0.00, 36, 0.00, 36
507567, 200, 0.00, 48, 0.00, 48
507569, 200, 0.00, 60, 0.00, 60
507571, 200, 0.00, 72, 0.00, 72
507574, 200, 0.00, 84, 0.00, 84
507576, 200, 0.00, 96, 0.00, 96
507578, 200, 0.00, 108, 0.05, 108
507580, 200, 0.05, 120, 105.79, 120
507593, 200, 128.90, 124, 123.78, 124
507595, 200, 145.62, 127, 140.65, 127
507597, 200, 160.95, 129, 140.65, 130
507599, 200, 169.20, 130, 148.94, 133
507601, 200, 187.06, 130, 185.60, 133
507603, 200, 193.57, 130, 187.48, 133
507605, 200, 214.78, 129, 197.82, 133
507617, 200, 258.60, 125, 251.19, 129
507619, 200, 271.44, 120, 278.47, 124
507621, 200, 287.11, 114, 275.94, 119
507623, 200, 290.61, 108, 287.11, 113
507626, 200, 299.22, 102, 284.17, 107
507628, 200, 301.66, 95, 295.25, 101
507629, 200, 311.82, 88, 308.07, 94
507631, 200, 317.76, 80, 313.58, 88
507643, 200, 309.79, 73, 308.64, 81
507645, 200, 314.47, 66, 330.03, 73
507647, 200, 319.90, 58, 315.66, 66
507649, 200, 312.11, 51, 321.13, 58
507651, 200, 315.36, 44, 311.82, 51
507653, 200, 316.56, 37, 315.36, 44
507655, 200, 317.16, 29, 318.98, 36
507657, 200, 314.17, 22, 303.31, 29
507672, 200, 281.06, 17, 268.60, 24
507677, 200, 257.20, 12, 261.23, 19
507680, 200, 253.29, 8, 273.45, 14
507683, 200, 251.76, 4, 255.23, 10
507684, 200, 239.12, 1, 258.00, 6
507687, 200, 233.10, -1, 251.19, 2
507689, 200, 228.62, -2, 241.72, 0
507691, 200, 229.89, -3, 236.07, -2
507693, 200, 213.68, -3, 222.97, -3
507695, 200, 216.59, -3, 220.31, -4
507697, 200, 207.30, -3, 215.47, -4
