time,   leftEncoder,   rightEncoder,   leftMode,   rightMode
920,    -3757,  0,      0,      0
925,    -3757,  0,      0,      0
930,    -3757,  0,      0,      0
935,    -3757,  0,      0,      0
940,   -3757,  0,      0,      0
945,    -3757,  0,      0,      0
950,    -3757,  0,      0,      0
955,    -3757,  0,      0,      0
960,    -3757,  0,      0,      0
965,    -3757,  0,      0,      0
970,    -3757,  0,      0,      0
975,    -3757,  0,      0,      0
980,    -3757,  0,      0,      0
985,    -3757,  0,      0,      0
990,    -3757,  0,      0,      0
995,    -3757,  0,      0,      0
1000,   -3757,  0,      0,      0
1005,   -3757,  0,      0,      0
1010,   -3757,  0,      0,      0
1015,   -3757,  0,      0,      0
1020,   -3757,  0,      0,      0
1025,   -3757,  0,      0,      0
1030,   -3757,  0,      0,      0
1035,   -3757,  0,      0,      0
1040,   -3757,  0,      0,      0
1045,   -3757,  0,      0,      0
1050,   -3757,  0,      0,      0
1055,   -3757,  0,      0,      0
1060,   -3757,  0,      0,      0
1065,   -3757,  0,      0,      0
1070,   -3757,  0,      0,      0
1075,   -3757,  0,      0,      0
1080,   -3757,  0,      0,      0
1085,   -3757,  0,      0,      0
1090,   -3757,  0,      0,      0
1095,   -3757,  0,      0,      0
1100,   -3757,  0,      0,      0
1105,   -3757,  0,      0,      0
1110,   -3757,  0,      0,      0
1115,   -3757,  0,      0,      0
1120,   -3757,  0,      0,      0
1125,   -3757,  0,      0,      0
1130,   -3757,  0,      0,      0
1135,   -3757,  0,      0,      0
1140,   -3757,  0,      0,      0
1145,   -3757,  0,      0,      0
1150,   -3757,  0,      0,      0
1155,   -3757,  0,      0,      0
1160,   -3757,  0,      0,      0
1165,   -3757,  0,      0,      0
1170,   -3757,  0,      0,      0
1175,   -3757,  0,      0,      0
1180,   -3757,  0,      0,      0
1185,   -3757,  0,      0,      0
1190,   -3757,  0,      0,      0
1195,   -3757,  0,      0,      0
1200,   -3757,  0,      0,      0
1205,   -3757,  0,      0,      0
1210,   -3757,  0,      0,      0
1215,   -3757,  0,      0,      0
1220,   -3757,  0,      0,      0
1225,   -3757,  0,      0,      0
1230,   -3757,  0,      0,      0
1235,   -3757,  0,      0,      0
1240,   -3757,  0,      0,      0
1245,   -3757,  0,      0,      0
1250,   -3757,  0,      0,      0
1255,   -3757,  0,      0,      0
1260,   -3757,  0,      0,      0
1265,   -3757,  0,      0,      0
1270,   -3757,  0,      0,      0
1275,   -3757,  0,      0,      0
1280,   -3757,  0,      0,      0
1285,   -3757,  0,      0,      0
1290,   -3757,  0,      0,      0
1295,   -3757,  0,      0,      0
1300,   -3757,  0,      0,      0
1305,   -3757,  0,      0,      0
1310,   -3757,  0,      0,      0
1315,   -3757,  0,      0,      0
1320,   -3757,  0,      0,      0
1325,   -3757,  0,      0,      0
1330,   -3757,  0,      0,      0
1335,   -3757,  0,      0,      0
1340,   -3757,  0,      0,      0
1345,   -3757,  0,      0,      0
1350,   -3757,  0,      0,      0
1355,   -3757,  0,      0,      0
1360,   -3757,  0,      0,      0
1365,   -3757,  0,      0,      0
1370,   -3757,  0,      0,      0
1375,   -3757,  0,      0,      0
1380,   -3757,  0,      0,      0
1385,   -3757,  0,      0,      0
1390,   -3757,  0,      0,      0
1395,   -3757,  0,      0,      0
1400,   -3757,  0,      0,      0
1405,   -3757,  0,      0,      0
1410,   -3757,  0,      0,      0
1415,   -3757,  0,      0,      0
1420,   -3757,  0,      0,      0
1425,   -3757,  0,      0,      0
1430,   -3757,  0,      0,      0
1435,  -3757,  0,      0,      0
1440,   -3757,  0,      0,      0
1445,   -3757,  0,      0,      0
1450,   -3757,  0,      0,      0
1455,   -3757,  0,      0,      0
1460,   -3757,  0,      0,      0
1465,   -3757,  0,      0,      0
1470,   -3757,  0,      0,      0
1475,   -3757,  0,      0,      0
1480,   -3757,  0,      0,      0
1485,   -3757,  0,      0,      0
1490,   -3757,  0,      0,      0
1495,   -3757,  0,      0,      0
1500,   -3757,  0,      0,      0
1505,   -3757,  0,      0,      0
1510,   -3757,  0,      0,      0
1515,   -3757,  0,      0,      0
1520,   -3757,  0,      0,      0
1525,   -3757,  0,      0,      0
1530,   -3757,  0,      0,      0
1535,   -3757,  0,      0,      0
1540,   -3757,  0,      0,      0
1545,   -3757,  0,      0,      0
1550,   -3757,  0,      0,      0
1555,   -3757,  0,      0,      0
1560,   -3757,  0,      0,      0
1565,   -3757,  0,      0,      0
1570,   -3757,  0,      0,      0
1575,   -3757,  0,      0,      0
1580,   -3757,  0,      0,      0
1585,   -3757,  0,      0,      0
1590,   -3757,  0,      0,      0
1595,   -3757,  0,      0,      0
1600,   -3757,  0,      0,      0
1605,   -3757,  0,      0,      0
1610,   -3757,  0,      0,      0
1615,   -3757,  0,      0,      0
1620,   -3757,  0,      0,      0
1625,   -3757,  0,      0,      0
1630,   -3757,  0,      0,      0
1635,   -3757,  0,      0,      0
1640,   -3757,  0,      0,      0
1645,   -3757,  0,      0,      0
1650,   -3757,  0,      0,      0
1655,   -3757,  0,      0,      0
1660,   -3757,  0,      0,      0
1665,   -3757,  0,      0,      0
1670,   -3757,  0,      0,      0
1675,   -3757,  0,      0,      0
1680,   -3757,  0,      0,      0
1685,   -3757,  0,      0,      0
1690,   -3757,  0,      0,      0
1695,   -3757,  0,      0,      0
1700,   -3757,  0,      0,      0
1705,   -3757,  0,      0,      0
1710,   -3757,  0,      0,      0
1715,   -3757,  0,      0,      0
1720,   -3757,  0,      0,      0
1725,   -3757,  0,      0,      0
1730,   -3757,  0,      0,      0
1735,   -3757,  0,      0,      0
1740,   -3757,  0,      0,      0
1745,   -3757,  0,      0,      0
1750,   -3757,  0,      0,      0
1755,   -3757,  0,      0,      0
1760,   -3757,  0,      0,      0
1765,   -3757,  0,      0,      0
1770,   -3757,  0,      0,      0
1775,   -3757,  0,      0,      0
1780,   -3757,  0,      0,      0
1785,   -3757,  0,      0,      0
1790,   -3757,  0,      0,      0
1795,   -3757,  0,      0,      0
1800,   -3757,  0,      0,      0
1805,   -3757,  0,      0,      0
1810,   -3757,  0,      0,      0
1815,   -3757,  0,      0,      0
1820,   -3757,  0,      0,      0
1825,   -3757,  0,      0,      0
1830,   -3757,  0,      0,      0
1835,   -3757,  0,      0,      0
1840,   -3757,  0,      0,      0
1845,   -3757,  0,      0,      0
1850,   -3757,  0,      0,      0
1855,   -3757,  0,      0,      0
1860,   -3757,  0,      0,      0
1865,   -3757,  0,      0,      0
1870,   -3757,  0,      2,      0
1875,   -3757,  0,      2,      0
1880,   -3757,  0,      2,      0
1885,   -3757,  0,      2,      0
1890,   -3757,  0,      2,      0
1895,   -3757,  0,      2,      0
1900,   -3757,  0,      2,      0
1905,   -3757,  0,      2,      0
