time,   voltage,    leftMode,    rightMode
54590,  7782,   0,      0
54595,  7847,   0,      0
54600,  7847,   0,      0
54605,  7761,   0,      0
54610,  7858,   0,      0
54615,  7890,   0,      0
54620,  7847,   4,      0
54625,  7804,   4,      0
54630,  7793,   4,      0
54635,  7804,   4,      0
54640,  7858,   4,      0
54645,  7858,   4,      0
54650,  7847,   4,      0
54655,  7804,   4,      0
54660,  7804,   4,      0
54665,  7804,   4,      0
54670,  7782,   4,      0
54675,  7890,   4,      0
54680,  7804,   4,      0
54685,  7836,   4,      0
54690,  7879,   4,      0
54695,  7847,   4,      0
54700,  7804,   4,      0
54705,  7847,   4,      0
54710,  7815,   4,      0
54715,  7782,   4,      0
54720,  7793,   4,      0
54725,  7761,   4,      0
54730,  7804,   4,      0
54735,  7815,   4,      0
54740,  7869,   4,      0
54745,  7847,   4,      0
54750,  7912,   4,      0
54755,  7804,   4,      0
54760,  7879,   4,      0
54765,  7836,   4,      0
54770,  7804,   4,      0
54775,  7804,   4,      0
54780,  7804,   4,      0
54785,  7804,   4,      0
54790,  7847,   4,      0
54795,  7761,   4,      0
54800,  7804,   4,      0
54805,  7804,   4,      0
54810,  7858,   4,      0
54815,  7869,   4,      0
54820,  7804,   4,      0
54825,  7847,   4,      0
54830,  7869,   4,      0
54835,  7761,   4,      0
54840,  7869,   4,      0
54845,  7879,   4,      0
54850,  7858,   4,      0
54855,  7804,   4,      0
54860,  7815,   4,      0
54865,  7869,   4,      0
54870,  7815,   4,      0
54875,  7804,   4,      0
54880,  7858,   4,      0
54885,  7847,   4,      0
54890,  7869,   4,      0
54895,  7804,   4,      0
54900,  7901,   4,      0
54905,  7847,   4,      0
54910,  7847,   4,      0
54915,  7804,   4,      0
54920,  7804,   4,      0
54925,  7858,   4,      0
54930,  7804,   4,      0
54935,  7858,   4,      0
54940,  7804,   4,      0
54945,  7804,   4,      0
54950,  7858,   4,      0
54955,  7869,   4,      0
54960,  7804,   4,      0
54965,  7890,   4,      0
54970,  7815,   4,      0
54975,  7847,   4,      0
54980,  7847,   4,      0
54985,  7793,   4,      0
54990,  7804,   4,      0
54995,  7804,   4,      0
55000,  7869,   4,      0
55005,  7793,   4,      0
55010,  7804,   4,      0
55015,  7869,   4,      0
55020,  7804,   4,      0
55025,  7869,   4,      0
55030,  7847,   4,      0
55035,  7847,   4,      0
55040,  7847,   4,      0
