time,   leftEncoder,   rightEncoder,   leftMode,   rightMode
65605,  28187,  0,      0,      0
65610,  28187,  0,      0,      0
65615,  28187,  0,      0,      0
65620,  28187,  0,      0,      0
65625,  28187,  0,      0,      0
65630,  28187,  0,      0,      0
65635,  28187,  0,      0,      0
65640,  28187,  0,      0,      0
65645,  28187,  0,      0,      0
65650,  28187,  0,      0,      0
65655,  28187,  0,      0,      0
65660,  28187,  0,      0,      0
65665,  28187,  0,      0,      0
65670,  28187,  0,      0,      0
65675,  28187,  0,      0,      0
65680,  28187,  0,      0,      0
65685,  28187,  0,      0,      0
65690,  28187,  0,      0,      0
65695,  28187,  0,      0,      0
65700,  28187,  0,      0,      0
65705,  28187,  0,      0,      0
65710,  28187,  0,      0,      0
65715,  28187,  0,      0,      0
65720,  28187,  0,      0,      0
65725,  28187,  0,      0,      0
65730,  28187,  0,      0,      0
65735,  28187,  0,      0,      0
65740,  28187,  0,      0,      0
65745,  28187,  0,      0,      0
65750,  28187,  0,      0,      0
65755,  28187,  0,      0,      0
65760,  28187,  0,      0,      0
65765,  28187,  0,      0,      0
65770,         28187,  0,      0,      0
65775,  28187,  0,      0,      0
65780,  28187,  0,      0,      0
65785,  28187,  0,      0,      0
65790,  28187,  0,      0,      0
65795,  28187,  0,      0,      0
65800,  28187,  0,      0,      0
65805,  28187,  0,      0,      0
65810,  28187,  0,      0,      0
65815,  28187,  0,      0,      0
65820,  28187,  0,      0,      0
65825,  28187,  0,      0,      0
65830,  28187,  0,      0,      0
65835,  28187,  0,      0,      0
65840,  28187,  0,      0,      0
65845,  28187,  0,      0,      0
65850,  28187,  0,      0,      0
65855,  28187,  0,      0,      0
65860,  28187,  0,      0,      0
65865,  28187,  0,      0,      0
65870,  28187,  0,      0,      0
65875,  28187,  0,      0,      0
65880,  28187,  0,      0,      0
65885,  28187,  0,      0,      0
65890,  28187,  0,      0,      0
65895,  28187,  0,      0,      0
65900,  28187,  0,      0,      0
65905,  28187,  0,      0,      0
65910,  28187,  0,      0,      0
65915,  28187,  0,      0,      0
65920,  28187,  0,      0,      0
65925,  28187,  0,      0,      0
65930,  28187,  0,      0,      0
65935,  28187,  0,      0,      0
65940,  28187,  0,      0,      0
65945,  28187,  0,      0,      0
65950,  28187,  0,      0,      0
65955,  28187,  0,      0,      0
65960,  28187,  0,      0,      0
65965,  28187,  0,      0,      0
65970,  28187,  0,      0,      0
65975,  28187,  0,      0,      0
65980,  28187,  0,      0,      0
65985,  28187,  0,      0,      0
65990,  28187,  0,      0,      0
65995,  28187,  0,      0,      0
66000,  28187,  0,      0,      0
66005,  28187,  0,      0,      0
66010,  28187,  0,      0,      0
66015,  28187,  0,      0,      0
66020,  28187,  0,      0,      0
66025,  28187,  0,      0,      0
66030,  28187,  0,      0,      0
66035,  28187,  0,      0,      0
66040,  28187,  0,      0,      0
66045,  28187,  0,      0,      0
66050,  28187,  0,      0,      0
66055,  28187,  0,      0,      0
66060,  28187,  0,      0,      0
66065,  28187,  0,      0,      0
66070,  28187,  0,      0,      0
66075,  28187,  0,      0,      0
66080,  28187,  0,      0,      0
