time,   voltage,    leftMode,    rightMode
3415,   3756,   0,      0
3420,   3660,   0,      0
3425,   3821,   0,      0
3430,   3713,   0,      0
3435,   3681,   0,      0
3440,   3821,   0,      0
3445,   3692,   0,      0
3450,   3681,   0,      0
3455,   3692,   0,      0
3460,   3681,   0,      0
3465,   3670,   0,      0
3470,   3649,   0,      0
3475,   3616,   0,      0
3480,   3778,   0,      0
3485,   3713,   0,      0
3490,   3616,   0,      0
3495,   3821,   0,      0
3500,   3713,   0,      0
3505,   3616,   0,      0
3510,   3660,   0,      0
3515,   3670,   0,      0
3520,   3756,   0,      0
3525,   3692,   0,      0
3530,  3692,   0,      0
3535,   3724,   0,      0
3540,   3692,   0,      0
3545,   3616,   0,      0
3550,   3681,   0,      0
3555,   3692,   0,      0
3560,   3681,   0,      0
3565,   3660,   0,      0
3570,   3756,   0,      0
3575,   3692,   0,      0
3580,   3660,   0,      0
3585,   3649,   0,      0
3590,   3756,   0,      0
3595,   3832,   0,      0
3600,   3616,   0,      0
3605,   3810,   0,      0
3610,   3681,   0,      0
3615,   3692,   0,      0
3620,   3681,   0,      0
3625,   3616,   0,      0
3630,   3692,   0,      0
3635,   3681,   0,      0
3640,   3713,   0,      0
3645,   3670,   0,      0
3650,   3616,   0,      0
3655,   3713,   0,      0
3660,   3886,   0,      0
3665,   3864,   0,      0
3670,   3681,   0,      0
3675,   3692,   0,      0
3680,   3616,   0,      0
3685,   3660,   0,      0
3690,   3713,   0,      0
3695,   3799,   0,      0
3700,   3821,   0,      0
3705,   3875,   0,      0
3710,   3821,   0,      0
3715,   3713,   0,      0
3720,   3692,   0,      0
3725,   3681,   0,      0
3730,   3681,   0,      0
3735,   3832,   0,      0
3740,   3681,   0,      0
3745,   3660,   0,      0
3750,   3616,   0,      0
3755,   3649,   0,      0
3760,   3713,   0,      0
3765,   3660,   0,      0
3770,   3616,   0,      0
3775,   3670,   0,      0
3780,   3681,   0,      0
3785,   3660,   0,      0
3790,   3832,   0,      0
3795,   3670,   0,      0
3800,   3616,   0,      0
3805,   3670,   0,      0
3810,   3724,   0,      0
3815,   3692,   0,      0
3820,   3692,   0,      0
3825,   3692,   0,      0
3830,   3616,   0,      0
3835,   3864,   0,      0
3840,   3681,   0,      0
3845,   3692,   0,      0
3850,   3692,   0,      0
3855,   3703,   0,      0
3860,   3681,   0,      0
3865,   3616,   0,      0
3870,   3778,   0,      0
3875,   3660,   0,      0
3880,   3616,   0,      0
3885,   3616,   0,      0
3890,   3649,   0,      0
3895,   3778,   0,      0
3900,   3724,   0,      0
3905,   3681,   0,      0
3910,   3724,   0,      0
3915,   3692,   0,      0
3920,   3692,   0,      0
3925,   3616,   0,      0
3930,   3756,   0,      0
3935,   3616,   0,      0
3940,   3616,   0,      0
3945,   3821,   0,      0
3950,   3886,   0,      0
3955,   3670,   0,      0
3960,   3681,   0,      0
3965,   3616,   0,      0
3970,   3692,   0,      0
3975,   3660,   0,      0
3980,   3649,   0,      0
3985,   3713,   0,      0
3990,   3660,   0,      0
3995,   3875,   0,      0
4000,   3713,   0,      0
4005,   3670,   0,      0
4010,   3649,   0,      0
4015,   3670,   0,      0
4020,   3616,   0,      0
4025,   3692,   0,      0
