time,   leftEncoder,   rightEncoder,   leftMode,   rightMode
24505,  0,      0,      0,      0
24510,  0,      0,      0,      0
24515,  0,      0,      0,      0
24520,  0,      0,      0,      0
24525,  0,      0,      0,      0
24530,  0,      0,      0,      0
24535,  0,      0,      0,      0
24540,  0,      0,      0,      0
24545,  0,      0,      0,      0
24550,  0,      0,      0,      0
24555,  0,      0,      0,      0
24560,  0,      0,      0,      0
24565,  0,      0,      0,      0
24570,  0,      0,      0,      0
24575,  0,      0,      0,      0
24580,  0,      0,      2,      0
24585,  0,      0,      2,      0
24590,  0,      0,      2,      0
24595,  0,      0,      2,      0
24600,  0,      0,      2,      0
24605,  0,      0,      2,      0
24610,  0,      0,      2,      0
24615,  0,      0,      2,      0
24620,  0,      0,      2,      0
24625,  0,      0,      2,      0
24630,  0,      0,      2,      0
24635,  0,      0,      2,      0
24640,  0,      0,      2,      0
24645,  0,      0,      2,      0
24650,  0,      0,      2,      0
24655,  0,      0,      2,      0
24660,  0,      0,      2,      0
24665,  0,      0,      2,      0
24670,  0,      0,      2,      0
24675,  0,      0,      2,      0
24680,  0,      0,      2,      0
24685,  0,      0,      2,      0
24690,  0,      0,      2,      0
24695,  0,      0,      2,      0
24700,  0,      0,      2,      0
24705,  0,      0,      2,      0
24710,  0,      0,      2,      0
24715,  0,      0,      2,      0
24720,  0,      0,      2,      0
24725,  0,      0,      2,      0
24730,  0,      0,      2,      0
24735,  0,      0,      2,      0
24740,  0,      0,      2,      0
24745,  0,      0,      2,      0
24750,  0,      0,      2,      0
24755,  0,      0,      2,      0
24760,  0,      0,      2,      0
24765,  0,      0,      2,      0
24770,  0,      0,      2,      0
24775,  0,      0,      2,      0
24780,  0,      0,      2,      0
24785,  0,      0,      2,      0
24790,  0,      0,      2,      0
24795,  0,      0,      2,      0
24800,  0,      0,      2,      0
24805,  0,      0,      2,      0
24810,  0,      0,      2,      0
24815,  0,      0,      2,      0
24820,  0,      0,      2,      0
24825,  0,      0,      2,      0
24830,  0,      0,      2,      0
24835,  0,      0,      2,      0
24840,  0,      0,      2,      0
24845,  0,      0,      2,      0
24850,  0,      0,      2,      0
24855,  0,      0,      2,      0
24860,  0,      0,      2,      0
24865,  0,      0,      2,      0
24870,  0,      0,      2,      0
24875,  0,      0,      2,      0
24880,  0,      0,      2,      0
24885,  0,      0,      2,      0
24890,  0,      0,      2,      0
24895,  0,      0,      2,      0
24900,  0,      0,      2,      0
24905,  0,      0,      2,      0
24910,  0,      0,      2,      0
24915,  0,      0,      2,      0
24920,  0,      0,      2,      0
24925,  0,      0,      2,      0
24930,  0,      0,      2,      0
24935,  0,      0,      2,      0
24940,  0,      0,      2,      0
24945,  0,      0,      2,      0
24950,  0,      0,      2,      0
24955,  0,      0,      2,      0
24960,  0,      0,      2,      0
24965,  0,      0,      2,      0
24970,  0,      0,      2,      0
24975,  0,      0,      2,      0
24980,  0,      0,      2,      0
24985,  0,      0,      2,      0
24990,  0,      0,      2,      0
24995,  0,      0,      2,      0
25000,  0,      0,      2,      0
25005,  0,      0,      2,      0
25010,  0,      0,      2,      0
25015,  0,      0,      2,      0
25020,  0,      0,      2,      0
25025,  0,      0,      2,      0
25030,  0,      0,      2,      0
25035,  0,      0,      2,      0
25040,  0,      0,      2,      0
25045,  0,      0,      2,      0
25050,  0,      0,      2,      0
25055,  0,      0,      2,      0
25060,  -1,     0,      2,      0
25065,  -2,     0,      2,      0
25070,  -3,     0,      2,      0
25075,  -5,     0,      2,      0
25080,  -8,     0,      2,      0
25085,  -11,    0,      2,      0
25090,  -14,    0,      2,      0
25095,  -18,    0,      2,      0
25100,  -22,    0,      2,      0
25105,  -27,    0,      2,      0
25110,  -32,    0,      2,      0
25115,  -37,    0,      2,      0
25120,  -43,    0,      2,      0
25125,  -48,    0,      2,      0
25130,  -54,    0,      2,      0
25135,  -61,    0,      2,      0
25140,  -67,    0,      2,      0
25145,  -74,    0,      2,      0
25150,  -81,    0,      2,      0
25155,  -88,    0,      2,      0
25160,  -95,    0,      2,      0
25165,  -102,   0,      2,      0
25170,  -110,   0,      2,      0
25175,  -117,   0,      2,      0
25180,  -125,   0,      2,      0
25185,  -133,   0,      2,      0
25190,  -141,   0,      2,      0
25195,  -149,   0,      2,      0
25200,  -158,   0,      2,      0
25205,  -166,   0,      2,      0
25210,  -174,   0,      2,      0
25215,  -183,   0,      2,      0
25220,  -191,   0,      2,      0
25225,  -200,   0,      2,      0
25230,  -209,   0,      2,      0
25235,  -218,   0,      2,      0
25240,  -227,   0,      2,      0
25245,  -236,   0,      2,      0
25250,  -245,   0,      2,      0
25255,  -254,   0,      2,      0
25260,  -263,   0,      2,      0
25265,  -272,   0,      2,      0
25270,  -281,   0,      2,      0
25275,  -291,   0,      2,      0
25280,  -300,   0,      2,      0
25285,  -309,   0,      2,      0
25290,  -319,   0,      2,      0
25295,  -328,   0,      2,      0
25300,  -338,   0,      2,      0
25305,  -347,   0,      2,      0
25310,  -357,   0,      2,      0
25315,  -367,   0,      2,      0
25320,  -376,   0,      2,      0
25325,  -386,   0,      2,      0
25330,  -396,   0,      2,      0
25335,  -406,   0,      2,      0
25340,  -415,   0,      2,      0
25345,  -425,   0,      2,      0
25350,  -435,   0,      2,      0
25355,  -445,   0,      2,      0
25360,  -455,   0,      2,      0
25365,  -464,   0,      2,      0
25370,  -474,   0,      2,      0
25375,  -484,   0,      2,      0
25380,  -494,   0,      2,      0
25385,  -504,   0,      2,      0
25390,  -514,   0,      2,      0
25395,  -524,   0,      2,      0
25400,  -534,   0,      2,      0
25405,  -544,   0,      2,      0
25410,  -554,   0,      2,      0
25415,  -565,   0,      2,      0
25420,  -575,   0,      2,      0
25425,  -585,   0,      2,      0
25430,  -595,   0,      2,      0
25435,  -605,   0,      2,      0
25440,  -616,   0,      2,      0
25445,  -626,   0,      2,      0
25450,  -636,   0,      2,      0
25455,  -646,   0,      2,      0
25460,  -656,   0,      2,      0
25465,  -667,   0,      2,      0
25470,  -677,   0,      2,      0
25475,  -687,   0,      2,      0
25480,  -698,   0,      2,      0
25485,  -708,   0,      2,      0
25490,  -718,   0,      2,      0
25495,  -728,   0,      2,      0
25500,  -739,   0,      2,      0
25505,  -749,   0,      2,      0
25510,  -759,   0,      2,      0
25515,  -770,   0,      2,      0
25520,  -780,   0,      2,      0
25525,  -790,   0,      2,      0
25530,  -801,   0,      2,      0
25535,  -811,   0,      2,      0
25540,  -822,   0,      2,      0
25545,  -832,   0,      2,      0
25550,  -842,   0,      2,      0
25555,  -853,   0,      2,      0
25560,  -863,   0,      2,      0
25565,  -873,   0,      2,      0
25570,  -884,   0,      2,      0
25575,  -894,   0,      2,      0
25580,  -905,   0,      2,      0
25585,  -915,   0,      2,      0
25590,  -925,   0,      2,      0
25595,  -936,   0,      2,      0
25600,  -946,   0,      2,      0
25605,  -957,   0,      2,      0
25610,  -967,   0,      2,      0
25615,  -978,   0,      2,      0
25620,  -988,   0,      2,      0
25625,  -998,   0,      2,      0
25630,  -1009,  0,      2,      0
25635,  -1019,  0,      2,      0
25640,  -1030,  0,      2,      0
25645,  -1041,  0,      2,      0
25650,  -1051,  0,      2,      0
25655,  -1062,  0,      2,      0
25660,  -1072,  0,      2,      0
25665,  -1083,  0,      2,      0
25670,  -1093,  0,      2,      0
25675,  -1104,  0,      2,      0
25680,  -1114,  0,      2,      0
25685,  -1125,  0,      2,      0
25690,  -1136,  0,      2,      0
25695,  -1146,  0,      2,      0
25700,  -1157,  0,      2,      0
25705,  -1167,  0,      2,      0
25710,  -1178,  0,      2,      0
25715,  -1188,  0,      2,      0
25720,  -1199,  0,      2,      0
25725,  -1210,  0,      2,      0
25730,  -1220,  0,      2,      0
25735,  -1231,  0,      2,      0
25740,  -1242,  0,      2,      0
25745,  -1252,  0,      2,      0
25750,  -1263,  0,      2,      0
25755,  -1274,  0,      2,      0
25760,  -1284,  0,      2,      0
25765,  -1295,  0,      2,      0
25770,  -1305,  0,      2,      0
25775,  -1316,  0,      2,      0
25780,  -1327,  0,      2,      0
25785,  -1338,  0,      2,      0
25790,  -1348,  0,      2,      0
25795,  -1359,  0,      2,      0
25800,  -1370,  0,      2,      0
25805,  -1380,  0,      2,      0
25810,  -1391,  0,      2,      0
25815,  -1402,  0,      2,      0
25820,  -1412,  0,      2,      0
25825,  -1423,  0,      2,      0
25830,  -1434,  0,      2,      0
25835,  -1445,  0,      2,      0
25840,  -1455,  0,      2,      0
25845,  -1466,  0,      2,      0
25850,  -1477,  0,      2,      0
25855,  -1487,  0,      2,      0
25860,  -1498,  0,      2,      0
25865,  -1509,  0,      2,      0
25870,  -1519,  0,      2,      0
25875,  -1530,  0,      2,      0
25880,  -1541,  0,      2,      0
25885,  -1552,  0,      2,      0
25890,  -1562,  0,      2,      0
25895,  -1573,  0,      2,      0
25900,  -1584,  0,      2,      0
25905,  -1594,  0,      2,      0
25910,  -1605,  0,      2,      0
25915,  -1616,  0,      2,      0
25920,  -1626,  0,      2,      0
25925,  -1637,  0,      2,      0
25930,  -1648,  0,      2,      0
25935,  -1659,  0,      2,      0
25940,  -1669,  0,      2,      0
25945,  -1680,  0,      2,      0
25950,  -1691,  0,      2,      0
25955,  -1702,  0,      2,      0
25960,  -1712,  0,      2,      0
25965,  -1723,  0,      2,      0
25970,  -1734,  0,      2,      0
25975,  -1745,  0,      2,      0
25980,  -1756,  0,      2,      0
25985,  -1766,  0,      2,      0
25990,  -1777,  0,      2,      0
25995,  -1788,  0,      2,      0
26000,  -1799,  0,      2,      0
26005,  -1810,  0,      2,      0
26010,  -1820,  0,      2,      0
26015,  -1831,  0,      2,      0
26020,  -1842,  0,      2,      0
26025,  -1853,  0,      2,      0
26030,  -1864,  0,      2,      0
26035,  -1875,  0,      2,      0
26040,  -1885,  0,      2,      0
26045,  -1896,  0,      2,      0
26050,  -1907,  0,      2,      0
26055,  -1918,  0,      2,      0
