time,   voltage,    leftMode,    rightMode
21439,  3584,   4,      0
21440,  3530,   4,      0
21441,  3595,   4,      0
21442,  3896,   4,      0
21443,  4004,   4,      0
21444,  3616,   4,      0
21445,  3756,   4,      0
21446,  3896,   4,      0
21447,  4144,   4,      0
21448,  3584,   4,      0
21449,  3595,   4,      0
21450,  3563,   4,      0
21451,  3896,   4,      0
21452,  3972,   4,      0
21453,  3573,   4,      0
21454,  3584,   4,      0
21455,  3993,   4,      0
21456,  3993,   4,      0
21457,  3692,   4,      0
21458,  3821,   4,      0
21459,  3907,   4,      0
21460,  3896,   4,      0
21461,  3950,   4,      0
21462,  3563,   4,      0
21463,  3595,   4,      0
21464,  3972,   4,      0
21465,  3961,   4,      0
21466,  3638,   4,      0
21467,  3584,   4,      0
21468,  3961,   4,      0
21469,  3961,   4,      0
21470,  3886,   4,      0
21471,  3616,   4,      0
21472,  4058,   4,      0
21473,  4036,   4,      0
21474,  3896,   4,      0
21475,  3563,   4,      0
21476,  3584,   4,      0
21477,  3896,   4,      0
21478,  3929,   4,      0
21479,  3638,   4,      0
21480,  3713,   4,      0
21481,  3896,   4,      0
21482,  3972,   4,      0
21483,  3649,   4,      0
21484,  3649,   4,      0
21485,  3616,   4,      0
21486,  4004,   4,      0
21487,  3982,   4,      0
21488,  3573,   4,      0
21489,  3552,   4,      0
21490,  3961,   4,      0
21491,  3993,   4,      0
21492,  3724,   4,      0
21493,  3584,   4,      0
21494,  3982,   4,      0
21495,  3982,   4,      0
21496,  3595,   4,      0
21497,  3649,   4,      0
21498,  3649,   4,      0
21499,  3972,   4,      0
21500,  3972,   4,      0
21501,  3541,   4,      0
21502,  3563,   4,      0
21503,  3929,   4,      0
21504,  3982,   4,      0
21505,  3692,   4,      0
21506,  3638,   4,      0
21507,  3961,   4,      0
21508,  3972,   4,      0
21509,  3616,   4,      0
21510,  3649,   4,      0
21511,  3584,   4,      0
21512,  3950,   4,      0
21513,  3982,   4,      0
21514,  3713,   4,      0
21515,  2831,   4,      0
21516,  3950,   4,      0
21517,  4036,   4,      0
21518,  3713,   4,      0
21519,  3563,   4,      0
21520,  3896,   4,      0
21521,  4004,   4,      0
21522,  3778,   4,      0
21523,  3584,   4,      0
21524,  3649,   4,      0
21525,  3929,   4,      0
21526,  4079,   4,      0
21527,  3530,   4,      0
21528,  3724,   4,      0
21529,  4165,   4,      0
21530,  3982,   4,      0
21531,  3584,   4,      0
21532,  3552,   4,      0
21533,  3896,   4,      0
21534,  3972,   4,      0
21535,  3692,   4,      0
21536,  3595,   4,      0
21537,  3896,   4,      0
21538,  3896,   4,      0
21539,  3972,   4,      0
21540,  3530,   4,      0
21541,  3832,   4,      0
21542,  3982,   4,      0
21543,  3982,   4,      0
21544,  3778,   4,      0
21545,  3563,   4,      0
21546,  3972,   4,      0
21547,  3972,   4,      0
21548,  3670,   4,      0
21549,  3584,   4,      0
21550,  4026,   4,      0
21551,  4069,   4,      0
21552,  3638,   4,      0
21553,  3541,   4,      0
21554,  3573,   4,      0
21555,  4026,   4,      0
21556,  3929,   4,      0
21557,  3670,   4,      0
21558,  3799,   4,      0
21559,  3972,   4,      0
21560,  4058,   4,      0
21561,  3670,   4,      0
21562,  3573,   4,      0
21563,  3896,   4,      0
21564,  3896,   4,      0
21565,  3724,   4,      0
21566,  3692,   4,      0
21567,  3972,   4,      0
21568,  3950,   4,      0
21569,  3573,   4,      0
21570,  3746,   4,      0
21571,  3595,   4,      0
21572,  4112,   4,      0
21573,  3982,   4,      0
21574,  3886,   4,      0
21575,  3649,   4,      0
21576,  4144,   4,      0
21577,  3982,   4,      0
21578,  3584,   4,      0
21579,  3713,   4,      0
21580,  4004,   4,      0
21581,  3972,   4,      0
21582,  3509,   4,      0
21583,  3541,   4,      0
21584,  4079,   4,      0
21585,  4133,   4,      0
21586,  3616,   4,      0
21587,  3713,   4,      0
21588,  3670,   4,      0
21589,  3929,   4,      0
21590,  3961,   4,      0
21591,  3530,   4,      0
21592,  3563,   4,      0
21593,  3907,   4,      0
21594,  3982,   4,      0
21595,  3552,   4,      0
21596,  3563,   4,      0
21597,  3961,   4,      0
21598,  3961,   4,      0
21599,  3595,   4,      0
21600,  3584,   4,      0
21601,  3929,   4,      0
21602,  3972,   4,      0
21603,  3595,   4,      0
21604,  3584,   4,      0
21605,  3595,   4,      0
21606,  3961,   4,      0
21607,  3907,   4,      0
21608,  3821,   4,      0
21609,  3595,   4,      0
21610,  3982,   4,      0
21611,  4112,   4,      0
21612,  3713,   4,      0
21613,  3584,   4,      0
21614,  3907,   4,      0
21615,  3972,   4,      0
21616,  3649,   4,      0
21617,  3563,   4,      0
21618,  4058,   4,      0
21619,  4026,   4,      0
21620,  3595,   4,      0
21621,  3530,   4,      0
21622,  3563,   4,      0
21623,  3896,   4,      0
21624,  3982,   4,      0
21625,  3670,   4,      0
21626,  3563,   4,      0
21627,  3961,   4,      0
21628,  3982,   4,      0
21629,  3541,   4,      0
21630,  3552,   4,      0
21631,  3918,   4,      0
21632,  3896,   4,      0
21633,  3660,   4,      0
21634,  3584,   4,      0
21635,  3961,   4,      0
21636,  3972,   4,      0
21637,  3584,   4,      0
21638,  3735,   4,      0
21639,  3972,   4,      0
21640,  3929,   4,      0
21641,  3896,   4,      0
21642,  3584,   4,      0
21643,  3595,   4,      0
21644,  3929,   4,      0
21645,  3982,   4,      0
21646,  3595,   4,      0
21647,  3681,   4,      0
21648,  3896,   4,      0
21649,  4004,   4,      0
21650,  3660,   4,      0
21651,  3832,   4,      0
21652,  3950,   4,      0
21653,  4058,   4,      0
21654,  3616,   4,      0
21655,  3563,   4,      0
21656,  3896,   4,      0
21657,  3896,   4,      0
21658,  3616,   4,      0
21659,  3541,   4,      0
21660,  3821,   4,      0
21661,  3950,   4,      0
21662,  3972,   4,      0
21663,  3638,   4,      0
21664,  3638,   4,      0
21665,  4144,   4,      0
21666,  3950,   4,      0
21667,  3649,   4,      0
21668,  2798,   4,      0
21669,  3896,   4,      0
21670,  3886,   4,      0
21671,  3616,   4,      0
21672,  3778,   4,      0
21673,  4090,   4,      0
21674,  3961,   4,      0
21675,  3616,   4,      0
21676,  3692,   4,      0
21677,  3972,   4,      0
21678,  3982,   4,      0
21679,  3961,   4,      0
21680,  3573,   4,      0
21681,  3584,   4,      0
21682,  3896,   4,      0
21683,  3993,   4,      0
21684,  3616,   4,      0
21685,  3584,   4,      0
21686,  4112,   4,      0
21687,  4004,   4,      0
21688,  3692,   4,      0
21689,  3638,   4,      0
21690,  4090,   4,      0
21691,  4026,   4,      0
21692,  3670,   4,      0
21693,  3530,   4,      0
21694,  3961,   4,      0
21695,  3961,   4,      0
21696,  3595,   4,      0
21697,  3595,   4,      0
21698,  3638,   4,      0
21699,  3929,   4,      0
21700,  4058,   4,      0
21701,  3616,   4,      0
21702,  3746,   4,      0
21703,  3950,   4,      0
21704,  3982,   4,      0
21705,  3832,   4,      0
21706,  3563,   4,      0
21707,  3982,   4,      0
21708,  3896,   4,      0
21709,  3584,   4,      0
21710,  3573,   4,      0
21711,  3950,   4,      0
21712,  3961,   4,      0
21713,  3929,   4,      0
21714,  3616,   4,      0
21715,  3864,   4,      0
21716,  4079,   4,      0
21717,  3982,   4,      0
21718,  3703,   4,      0
21719,  2852,   4,      0
21720,  3972,   4,      0
21721,  4165,   4,      0
21722,  3638,   4,      0
21723,  3649,   4,      0
21724,  4144,   4,      0
21725,  4165,   4,      0
21726,  3649,   4,      0
21727,  3670,   4,      0
21728,  3929,   4,      0
21729,  3950,   4,      0
21730,  3649,   4,      0
21731,  3563,   4,      0
21732,  3573,   4,      0
21733,  3982,   4,      0
21734,  3929,   4,      0
21735,  3595,   4,      0
21736,  3573,   4,      0
21737,  3929,   4,      0
21738,  3972,   4,      0
21739,  3616,   4,      0
21740,  3595,   4,      0
21741,  3961,   4,      0
21742,  3961,   4,      0
21743,  3724,   4,      0
21744,  3713,   4,      0
21745,  3972,   4,      0
21746,  4079,   4,      0
21747,  3692,   4,      0
21748,  3821,   4,      0
21749,  3713,   4,      0
21750,  3929,   4,      0
21751,  3972,   4,      0
21752,  3584,   4,      0
21753,  3638,   4,      0
21754,  3896,   4,      0
21755,  3950,   4,      0
21756,  3638,   4,      0
21757,  3638,   4,      0
21758,  3993,   4,      0
21759,  3929,   4,      0
21760,  3832,   4,      0
21761,  3563,   4,      0
21762,  3982,   4,      0
21763,  3972,   4,      0
21764,  3649,   4,      0
21765,  3864,   4,      0
21766,  3950,   4,      0
21767,  3896,   4,      0
21768,  3595,   4,      0
21769,  3713,   4,      0
21770,  3584,   4,      0
21771,  3961,   4,      0
21772,  3972,   4,      0
21773,  3595,   4,      0
21774,  3778,   4,      0
21775,  4144,   4,      0
21776,  4004,   4,      0
21777,  3649,   4,      0
21778,  3649,   4,      0
21779,  3972,   4,      0
21780,  4165,   4,      0
21781,  3573,   4,      0
21782,  3563,   4,      0
21783,  3929,   4,      0
21784,  4079,   4,      0
21785,  3563,   4,      0
21786,  3584,   4,      0
21787,  3993,   4,      0
21788,  3972,   4,      0
21789,  3638,   4,      0
21790,  3832,   4,      0
21791,  3982,   4,      0
21792,  3896,   4,      0
21793,  3638,   4,      0
21794,  3724,   4,      0
21795,  3595,   4,      0
21796,  3886,   4,      0
21797,  3961,   4,      0
21798,  3552,   4,      0
21799,  3649,   4,      0
21800,  3972,   4,      0
21801,  4058,   4,      0
21802,  3649,   4,      0
21803,  3573,   4,      0
21804,  3961,   4,      0
21805,  3929,   4,      0
21806,  3584,   4,      0
21807,  3552,   4,      0
21808,  3972,   4,      0
21809,  4026,   4,      0
21810,  3616,   4,      0
21811,  3530,   4,      0
21812,  3982,   4,      0
21813,  4112,   4,      0
21814,  3649,   4,      0
21815,  3638,   4,      0
21816,  3950,   4,      0
21817,  3972,   4,      0
21818,  3584,   4,      0
21819,  3670,   4,      0
21820,  4058,   4,      0
21821,  3896,   4,      0
21822,  3616,   4,      0
21823,  3584,   4,      0
21824,  3573,   4,      0
21825,  3896,   4,      0
21826,  3993,   4,      0
21827,  3649,   4,      0
21828,  3595,   4,      0
21829,  4133,   4,      0
21830,  3918,   4,      0
21831,  3530,   4,      0
21832,  3670,   4,      0
