time, motorCommand, leftSpeedRpm, rightSpeedRpm
17900, -250, -600.00, -615.00
20000, -245, -595.00, -611.67
22100, -240, -586.67, -606.67
24200, -235, -588.33, -606.67
26300, -230, -590.00, -606.67
28400, -225, -586.67, -606.67
30500, -220, -581.67, -608.33
32600, -215, -575.00, -605.00
34700, -210, -573.33, -605.00
36800, -205, -574.07, -609.43
38900, -200, -564.36, -597.36
40999, -195, -562.29, -599.33
43000, -190, -557.24, -595.96
45100, -185, -547.85, -589.11
47200, -180, -548.82, -589.23
49300, -175, -534.65, -582.51
51400, -170, -530.30, -579.12
53500, -165, -521.45, -567.66
55599, -160, -516.83, -572.39
57600, -155, -506.73, -563.97
59700, -150, -498.35, -551.16
61800, -145, -496.63, -547.14
63900, -140, -480.20, -533.00
65999, -135, -479.80, -530.30
68000, -130, -476.43, -523.57
70100, -125, -457.10, -511.55
72200, -120, -454.55, -506.73
74300, -115, -435.64, -486.80
76399, -110, -425.93, -476.43
78500, -105, -402.64, -458.75
80599, -100, -387.21, -447.81
82700, -95, -364.69, -420.79
84800, -90, -358.59, -409.09
86900, -85, -330.03, -381.19
89000, -80, -309.76, -361.95
91100, -75, -283.83, -331.68
93199, -70, -252.53, -303.03
95300, -65, -217.82, -257.43
97399, -60, -185.19, -223.91
99400, -55, -138.05, -180.13
101500, -50, -85.81, -130.36
103599, -45, -26.94, -74.07
105700, -40, 0.00, 0.00
107800, -35, 0.00, 0.00
109900, -30, 0.00, 0.00
112000, -25, 0.00, 0.00
114100, -20, 0.00, 0.00
116199, -15, 0.00, 0.00
118300, -10, 0.00, 0.00
120399, -5, 0.00, 0.00
122500, 0, 0.00, 0.00
124599, 5, 0.00, 0.00
126700, 10, 0.00, 0.00
128800, 15, 0.00, 0.00
130900, 20, 0.00, 0.00
132999, 25, 0.00, 0.00
135100, 30, 0.00, 0.00
137199, 35, 0.00, 0.00
139300, 40, 0.00, 0.00
141399, 45, 0.00, 0.00
143500, 50, 0.00, 61.06
145599, 55, 0.00, 117.85
147600, 60, 0.00, 156.57
149700, 65, 0.00, 214.52
151800, 70, 0.00, 259.26
153900, 75, 207.92, 288.78
156000, 80, 260.94, 323.23
158100, 85, 290.43, 349.83
160199, 90, 314.81, 382.15
162300, 95, 331.68, 399.34
164399, 100, 363.64, 417.51
166500, 105, 377.89, 443.89
168600, 110, 400.67, 466.33
170700, 115, 415.84, 480.20
172800, 120, 439.39, 496.63
174900, 125, 455.45, 503.30
176999, 130, 476.43, 518.52
179000, 135, 483.17, 525.25
181100, 140, 483.50, 528.05
183199, 145, 498.32, 543.77
185200, 150, 503.37, 550.51
187300, 155, 508.25, 554.46
189399, 160, 523.57, 569.02
191400, 165, 526.94, 574.07
193500, 170, 529.70, 575.91
195599, 175, 542.09, 584.18
197700, 180, 544.55, 585.81
199800, 185, 557.24, 595.96
201900, 190, 556.11, 597.36
204000, 195, 567.34, 607.74
206100, 200, 567.66, 605.61
208199, 205, 577.44, 612.79
210200, 210, 580.81, 617.85
212300, 215, 575.91, 610.56
214400, 220, 587.54, 624.58
216500, 225, 585.81, 623.76
218599, 230, 597.64, 631.31
220600, 235, 597.64, 631.31
222700, 240, 587.46, 623.76
224800, 245, 595.96, 631.31
226900, 250, 602.31, 636.96
228999, 255, 619.53, 654.88
