x,y,theta,v,omega
0.04, 0.08, 2.17, 0.11, 0.69
0.03, 0.09, 2.39, 0.11, 0.71
0.03, 0.10, 2.61, 0.10, 0.64
0.02, 0.10, 2.82, 0.11, 0.67
0.01, 0.10, 3.04, 0.11, 0.67
-0.01, 0.10, -3.02, 0.11, 0.68
-0.02, 0.10, -2.80, 0.12, 0.71
-0.03, 0.10, -2.58, 0.11, 0.68
-0.04, 0.09, -2.35, 0.11, 0.71
-0.04, 0.08, -2.13, 0.11, 0.71
-0.05, 0.07, -1.90, 0.12, 0.72
-0.05, 0.06, -1.68, 0.12, 0.72
-0.05, 0.05, -1.45, 0.11, 0.70
-0.05, 0.03, -1.23, 0.11, 0.70
-0.04, 0.02, -1.00, 0.11, 0.70
-0.04, 0.01, -0.78, 0.11, 0.69
-0.03, 0.01, -0.55, 0.11, 0.69
-0.02, 0.00, -0.32, 0.11, 0.69
-0.00, 0.00, -0.10, 0.11, 0.69
0.01, 0.00, 0.13, 0.11, 0.69
0.02, 0.00, 0.36, 0.11, 0.69
0.03, 0.01, 0.59, 0.11, 0.69
0.04, 0.02, 0.81, 0.11, 0.68
0.04, 0.03, 1.04, 0.11, 0.69
0.05, 0.04, 1.27, 0.12, 0.72
0.05, 0.05, 1.50, 0.12, 0.72
0.05, 0.06, 1.72, 0.12, 0.73
0.05, 0.07, 1.95, 0.12, 0.72
0.04, 0.08, 2.17, 0.11, 0.69
0.03, 0.09, 2.40, 0.11, 0.70
0.03, 0.10, 2.63, 0.11, 0.69
0.01, 0.10, 2.85, 0.11, 0.69
0.00, 0.10, 3.08, 0.12, 0.71
-0.01, 0.10, -2.98, 0.12, 0.72
-0.02, 0.10, -2.75, 0.11, 0.70
-0.03, 0.09, -2.52, 0.11, 0.70
-0.04, 0.09, -2.29, 0.11, 0.70
-0.05, 0.08, -2.06, 0.11, 0.70
-0.05, 0.06, -1.83, 0.12, 0.73
-0.05, 0.05, -1.60, 0.12, 0.72
-0.05, 0.04, -1.37, 0.12, 0.73
-0.05, 0.03, -1.15, 0.12, 0.73
-0.04, 0.02, -0.92, 0.12, 0.73
-0.03, 0.01, -0.69, 0.12, 0.73
-0.02, 0.01, -0.46, 0.12, 0.73
-0.01, 0.00, -0.23, 0.12, 0.73
-0.00, 0.00, -0.01, 0.12, 0.73
0.01, 0.00, 0.23, 0.11, 0.70
0.02, 0.01, 0.46, 0.11, 0.70
0.03, 0.01, 0.68, 0.11, 0.70
0.04, 0.02, 0.91, 0.12, 0.71
0.05, 0.03, 1.14, 0.11, 0.67
0.05, 0.04, 1.36, 0.12, 0.71
0.05, 0.05, 1.58, 0.11, 0.69
0.05, 0.06, 1.81, 0.12, 0.71
0.05, 0.07, 2.03, 0.12, 0.72
0.04, 0.08, 2.26, 0.11, 0.70
0.03, 0.09, 2.49, 0.11, 0.70
0.02, 0.10, 2.72, 0.11, 0.70
0.01, 0.10, 2.96, 0.12, 0.74
-0.00, 0.10, -3.10, 0.11, 0.70
-0.01, 0.10, -2.87, 0.11, 0.70
-0.02, 0.10, -2.64, 0.11, 0.70
-0.03, 0.09, -2.41, 0.12, 0.72
-0.04, 0.08, -2.18, 0.12, 0.71
-0.05, 0.07, -1.95, 0.12, 0.74
-0.05, 0.06, -1.72, 0.12, 0.74
-0.05, 0.05, -1.48, 0.12, 0.71
-0.05, 0.04, -1.26, 0.12, 0.72
-0.04, 0.02, -1.03, 0.11, 0.70
-0.04, 0.02, -0.80, 0.11, 0.70
-0.03, 0.01, -0.57, 0.11, 0.71
-0.02, 0.00, -0.34, 0.12, 0.74
-0.01, 0.00, -0.11, 0.12, 0.73
0.01, 0.00, 0.12, 0.11, 0.70
0.02, 0.00, 0.35, 0.11, 0.70
0.03, 0.01, 0.58, 0.12, 0.71
0.04, 0.02, 0.81, 0.12, 0.71
0.04, 0.03, 1.05, 0.12, 0.74
0.05, 0.04, 1.28, 0.12, 0.74
0.05, 0.05, 1.51, 0.12, 0.73
0.05, 0.06, 1.74, 0.11, 0.71
0.05, 0.07, 1.97, 0.11, 0.71
0.04, 0.08, 2.20, 0.12, 0.75
0.03, 0.09, 2.43, 0.12, 0.71
0.02, 0.10, 2.67, 0.12, 0.71
0.01, 0.10, 2.90, 0.12, 0.72
0.00, 0.10, 3.13, 0.12, 0.75
-0.01, 0.10, -2.92, 0.12, 0.73
-0.02, 0.10, -2.69, 0.12, 0.71
-0.03, 0.09, -2.45, 0.12, 0.74
-0.04, 0.08, -2.22, 0.11, 0.71
-0.05, 0.07, -1.99, 0.12, 0.72
-0.05, 0.06, -1.75, 0.12, 0.74
-0.05, 0.05, -1.52, 0.12, 0.73
-0.05, 0.04, -1.29, 0.11, 0.71
-0.04, 0.03, -1.06, 0.11, 0.70
-0.04, 0.02, -0.83, 0.11, 0.69
-0.03, 0.01, -0.60, 0.11, 0.69
-0.02, 0.00, -0.37, 0.12, 0.73
-0.01, 0.00, -0.15, 0.12, 0.73
0.00, 0.00, 0.08, 0.12, 0.73
0.02, 0.00, 0.31, 0.12, 0.73
0.03, 0.01, 0.54, 0.12, 0.73
0.04, 0.01, 0.77, 0.12, 0.74
0.04, 0.02, 1.00, 0.11, 0.70
0.05, 0.03, 1.23, 0.11, 0.70
0.05, 0.05, 1.46, 0.11, 0.71
0.05, 0.06, 1.69, 0.12, 0.71
