time,   voltage,    leftMode,    rightMode
7660,   4241,   0,      0
7680,   4122,   0,      0
7700,   4090,   0,      0
7720,   4122,   0,      0
7740,   4144,   0,      0
7760,   4262,   0,      0
7780,   4144,   0,      0
7800,   4122,   0,      0
7820,   4122,   0,      0
7840,   4144,   0,      0
7860,   4090,   0,      0
7880,   4133,   0,      0
7900,   4112,   0,      0
7920,   4122,   0,      0
7940,   4155,   0,      0
7960,  4165,   0,      0
7980,   4241,   0,      0
8000,   4122,   0,      0
8020,   4348,   0,      0
8040,   4230,   0,      0
8060,   4122,   0,      0
8080,   4090,   0,      0
8100,   4155,   0,      0
8120,   4133,   0,      0
8140,   4112,   0,      0
8160,   4112,   0,      0
8180,   4144,   0,      0
8200,   4176,   0,      0
8220,   4144,   0,      0
8240,   4144,   0,      0
8260,   3864,   4,      0
8280,   3670,   4,      0
8300,   4058,   4,      0
8320,   3886,   4,      0
8340,   3713,   4,      0
8360,   3681,   4,      0
8380,   4112,   4,      0
8400,   3713,   4,      0
8420,   4165,   4,      0
8440,   3649,   4,      0
8460,   3864,   4,      0
8480,   4079,   4,      0
8500,   4047,   4,      0
8520,   4241,   4,      0
8540,   4015,   4,      0
8560,   4112,   4,      0
8580,   4133,   4,      0
8600,   4079,   4,      0
8620,   4101,   4,      0
8640,   3821,   4,      0
8660,   3832,   4,      0
8680,   3799,   4,      0
8700,   3713,   4,      0
8720,   4079,   4,      0
8740,   4165,   4,      0
8760,   3993,   4,      0
8780,   3746,   4,      0
8800,   3724,   4,      0
8820,   4079,   4,      0
8840,   4090,   4,      0
8860,   3746,   4,      0
8880,   4079,   4,      0
8900,   4079,   4,      0
8920,   3713,   4,      0
8940,   3703,   4,      0
8960,   4209,   4,      0
8980,   3713,   4,      0
9000,   4165,   4,      0
9020,   4079,   4,      0
9040,   4047,   4,      0
9060,   4079,   4,      0
9080,   3692,   4,      0
9100,   4165,   4,      0
9120,   3713,   4,      0
9140,   4101,   4,      0
9160,   3724,   4,      0
9180,   4047,   4,      0
9200,   3961,   4,      0
9220,   4112,   0,      0
9240,   4209,   0,      0
9260,   4112,   0,      0
9280,   4112,   0,      0
9300,   4155,   0,      0
9320,   4155,   0,      0
9340,   4348,   0,      0
9360,   4144,   0,      0
9380,   4112,   0,      0
9400,   4122,   0,      0
9420,   4230,   0,      0
9440,   4122,   0,      0
9460,   4165,   0,      0
9480,   4144,   0,      0
9500,   4112,   0,      0
9520,   4144,   0,      0
9540,   4122,   0,      0
9560,   4144,   0,      0
9580,   4133,   0,      0
9600,   4112,   0,      0
9620,   4112,   0,      0
9640,   4122,   0,      0
9660,   4090,   0,      0
9680,   4122,   0,      0
9700,   4144,   0,      0
9720,   4165,   0,      0
9740,   4122,   0,      0
9760,   4112,   0,      0
9780,   4144,   0,      0
9800,   4144,   0,      0
9820,   4090,   0,      0
9840,   4112,   0,      0
9860,   4133,   0,      0
9880,   4133,   0,      0
9900,   4241,   0,      0
9920,   4122,   0,      0
9940,   4327,   0,      0
9960,   4122,   0,      0
9980,   4241,   0,      0
10000,  4090,   0,      0
10020,  4112,   0,      0
10040,  4122,   0,      0
10060,  4155,   0,      0
10080,  4241,   0,      0
10100,  4112,   0,      0
10120,  4144,   0,      0
10140,  4112,   0,      0
10160,  4327,   0,      0
10180,  4090,   0,      0
10200,  4133,   0,      0
10220,  4155,   0,      0
10240,  4144,   0,      0
10260,  4144,   0,      0
10280,  4392,   0,      0
10300,  4295,   0,      0
10320,  4370,   0,      0
10340,  4122,   0,      0
10360,  4144,   0,      0
10380,  4133,   0,      0
10400,  4262,   0,      0
10420,  4112,   0,      0
10440,  4122,   0,      0
10460,  4079,   0,      0
10480,  4133,   0,      0
10500,  4144,   0,      0
10520,  4079,   0,      0
10540,  4133,   0,      0
10560,  4209,   0,      0
10580,  4284,   0,      0
10600,  4122,   0,      0
10620,  4122,   0,      0
10640,  4165,   0,      0
10660,  4144,   0,      0
10680,  4144,   0,      0
10700,  4144,   0,      0
10720,  4122,   0,      0
10740,  4090,   0,      0
10760,  4079,   0,      0
10780,  4133,   0,      0
10800,  4112,   0,      0
10820,  4122,   0,      0
10840,  4133,   0,      0
10860,  4165,   0,      0
10880,  4090,   0,      0
10900,  4241,   0,      0
10920,  4348,   0,      0
10940,  4122,   0,      0
10960,  4165,   0,      0
10980,  4122,   0,      0
11000,  4155,   0,      0
11020,  4262,   0,      0
11040,  4112,   0,      0
11060,  4305,   0,      0
11080,  4262,   0,      0
11100,  4112,   0,      0
11120,  4165,   0,      0
11140,  4155,   0,      0
11160,  4144,   0,      0
11180,  4241,   0,      0
11200,  4305,   0,      0
11220,  4144,   0,      0
11240,  4112,   0,      0
11260,  4155,   0,      0
11280,  4112,   0,      0
11300,  4305,   0,      0
11320,  4305,   0,      0
11340,  4370,   0,      0
11360,  4112,   0,      0
11380,  4144,   0,      0
11400,  4144,   0,      0
11420,  4144,   0,      0
11440,  4112,   0,      0
11460,  4122,   0,      0
11480,  4370,   0,      0
11500,  4112,   0,      0
11520,  4144,   0,      0
11540,  4155,   0,      0
11560,  4262,   0,      0
11580,  4112,   0,      0
