time, batteryVoltage, speed, leftHighSpeed, leftLowSpeed, rightHighSpeed, rightLowSpeed
96.328, 0, -540, -466.53, -466.85, -449.87, -459.77
97.331, 0, -530, -449.96, -452.90, -449.96, -458.51
98.332, 0, -520, -449.91, -447.43, -449.91, -435.16
99.335, 0, -510, -449.87, -449.84, -433.20, -432.34
100.338, 0, -500, -450.00, -435.73, -416.67, -429.00
101.339, 0, -490, -416.79, -426.80, -416.67, -415.11
102.342, 0, -480, -416.63, -418.24, -399.96, -417.71
103.345, 0, -470, -416.67, -428.45, -400.00, -393.08
104.346, 0, -460, -400.00, -393.55, -383.33, -397.30
105.349, 0, -450, -383.33, -405.02, -366.67, -371.20
106.350, 0, -440, -383.30, -379.65, -366.63, -367.92
107.351, 0, -430, -366.59, -373.69, -366.59, -360.75
108.354, 0, -420, -350.00, -354.99, -350.00, -349.41
109.355, 0, -410, -349.97, -354.99, -349.97, -341.53
110.358, 0, -400, -350.00, -339.10, -333.33, -328.73
111.361, 0, -390, -333.33, -330.03, -316.67, -314.17
112.362, 0, -380, -333.33, -344.71, -300.00, -303.86
113.365, 0, -370, -316.64, -315.66, -299.97, -299.49
114.368, 0, -360, -316.76, -300.84, -283.42, -292.14
115.369, 0, -350, -300.06, -307.50, -283.33, -277.32
116.372, 0, -340, -300.00, -286.86, -283.33, -270.12
117.373, 0, -330, -283.36, -274.57, -250.03, -267.31
118.374, 0, -320, -266.67, -281.06, -250.00, -260.01
119.377, 0, -310, -266.69, -270.56, -250.03, -244.02
120.378, 0, -300, -249.98, -268.17, -233.31, -238.10
121.381, 0, -290, -249.90, -246.00, -216.58, -229.10
122.384, 0, -280, -250.03, -241.90, -216.69, -219.30
123.385, 0, -270, -233.29, -235.24, -216.62, -212.59
124.388, 0, -260, -233.33, -223.11, -200.00, -204.62
125.391, 0, -250, -233.29, -229.10, -199.96, -198.53
126.392, 0, -240, -200.04, -204.12, -200.04, -192.79
127.394, 0, -230, -216.67, -201.17, -183.33, -184.98
128.395, 0, -220, -183.39, -184.16, -183.39, -186.74
129.397, 0, -210, -166.67, -176.74, -183.33, -175.44
130.400, 0, -200, -166.67, -164.53, -166.67, -162.21
131.401, 0, -190, -166.62, -157.75, -166.62, -154.32
132.404, 0, -180, -150.05, -151.86, -150.05, -152.07
133.406, 0, -170, -133.33, -129.05, -133.33, -139.00
134.407, 0, -160, -116.66, -123.92, -133.32, -133.28
135.409, 0, -150, -116.67, -103.14, -133.33, -120.82
136.412, 0, -140, -100.00, -92.88, -116.67, -111.82
137.413, 0, -130, -83.33, -79.03, -83.33, -93.03
138.415, 0, -120, -66.66, -64.45, -83.33, -85.91
139.416, 0, -110, -50.00, -51.16, -83.33, -82.61
140.418, 0, -100, -33.33, -40.41, -66.67, -72.70
141.420, 0, -90, -33.33, -31.86, -50.00, -54.55
142.421, 0, -80, -16.67, -24.33, -33.34, -42.92
143.424, 0, -70, 0.00, -22.04, -33.33, -25.03
144.426, 0, -60, 0.00, -22.04, -16.67, -16.03
145.427, 0, -50, 0.00, -22.04, 0.00, -8.58
146.429, 0, -40, 0.00, -22.04, 0.00, -15.76
147.430, 0, -30, 0.00, -22.04, -16.67, -8.58
148.431, 0, -20, 0.00, -22.04, 0.00, -9.06
149.433, 0, -10, 0.00, -22.04, 0.00, -0.28
150.434, 0, 0, 0.00, -22.04, 0.00, -0.28
151.436, 0, 10, 200.02, 197.47, 0.00, -0.28
152.438, 0, 20, 216.67, 212.18, 0.00, -0.28
153.439, 0, 30, 233.26, 219.30, 0.00, 0.09
154.441, 0, 40, 216.58, 229.10, 0.00, 0.09
155.443, 0, 50, 233.40, 219.59, 0.00, 0.09
156.444, 0, 60, 216.67, 236.07, 0.00, 0.09
157.446, 0, 70, 233.33, 237.08, 0.00, 0.38
158.447, 0, 80, 233.36, 231.32, 0.00, 3.76
159.449, 0, 90, 233.40, 239.29, 33.34, 40.83
160.451, 0, 100, 249.98, 236.57, 50.00, 39.88
161.452, 0, 110, 249.98, 236.74, 50.00, 51.60
162.454, 0, 120, 233.31, 246.73, 50.00, 55.52
163.456, 0, 130, 250.00, 241.02, 83.33, 79.33
164.457, 0, 140, 233.33, 234.08, 100.00, 94.38
165.459, 0, 150, 233.33, 235.40, 100.00, 96.87
166.460, 0, 160, 233.31, 235.07, 99.99, 103.49
167.461, 0, 170, 233.29, 232.77, 116.64, 108.01
168.463, 0, 180, 233.33, 230.20, 133.33, 127.18
169.464, 0, 190, 233.33, 222.67, 133.33, 138.77
170.466, 0, 200, 233.36, 229.41, 150.02, 142.21
171.468, 0, 210, 216.67, 226.76, 166.67, 167.42
172.469, 0, 220, 216.67, 230.84, 166.67, 171.91
173.471, 0, 230, 233.22, 228.31, 183.24, 180.67
174.473, 0, 240, 233.31, 229.89, 199.98, 188.64
175.474, 0, 250, 233.40, 230.68, 200.06, 197.36
176.476, 0, 260, 233.33, 238.95, 200.00, 202.76
177.477, 0, 270, 233.36, 242.25, 216.69, 222.82
178.479, 0, 280, 250.00, 245.10, 216.67, 227.07
179.482, 0, 290, 250.00, 248.57, 233.33, 226.91
180.483, 0, 300, 250.08, 250.63, 233.40, 246.73
181.485, 0, 310, 266.59, 251.57, 249.93, 247.65
182.487, 0, 320, 266.72, 262.67, 266.72, 267.09
183.488, 0, 330, 283.31, 266.24, 266.64, 264.97
184.490, 0, 340, 283.28, 275.03, 266.61, 283.45
185.493, 0, 350, 283.33, 285.63, 283.33, 282.01
186.494, 0, 360, 300.06, 304.14, 283.39, 289.86
187.496, 0, 370, 316.67, 315.96, 300.00, 293.17
188.497, 0, 380, 333.37, 315.96, 316.70, 300.30
189.499, 0, 390, 316.57, 324.89, 316.57, 313.28
190.501, 0, 400, 333.30, 330.69, 316.64, 318.67
191.502, 0, 410, 350.00, 347.58, 333.33, 325.52
192.504, 0, 420, 349.90, 351.99, 349.90, 354.61
193.506, 0, 430, 366.63, 362.71, 366.63, 356.51
194.507, 0, 440, 383.33, 384.02, 366.67, 369.55
195.509, 0, 450, 383.33, 381.39, 383.33, 386.25
196.510, 0, 460, 399.96, 400.64, 383.33, 393.08
197.511, 0, 470, 399.92, 398.72, 383.26, 378.36
198.513, 0, 480, 400.00, 403.06, 400.00, 386.25
199.514, 0, 490, 399.96, 420.88, 399.96, 410.51
200.516, 0, 500, 416.67, 414.59, 416.67, 425.17
201.518, 0, 510, 433.33, 429.55, 433.33, 433.46
202.519, 0, 520, 433.38, 432.90, 416.71, 440.92
203.521, 0, 530, 449.96, 453.51, 449.96, 452.28
204.523, 0, 540, 450.00, 452.28, 450.00, 457.88
205.524, 0, 550, 466.67, 457.88, 466.67, 449.24
