time, targetSpeed, leftSpeed, leftCommand, rightSpeed, rightCommand
130441, 200, 0.00, 4, 0.00, 4
130445, 200, 0.00, 8, 0.00, 8
130448, 200, 0.00, 12, 0.00, 12
130450, 200, 0.00, 16, 0.00, 16
130453, 200, 0.00, 20, 0.00, 20
130456, 200, 0.00, 24, 0.00, 24
130459, 200, 0.00, 28, 0.00, 28
130462, 200, 0.00, 32, 0.00, 32
130465, 200, 0.00, 36, 0.00, 36
130468, 200, 0.00, 40, 0.00, 40
130471, 200, 0.00, 44, 0.00, 44
130474, 200, 0.00, 48, 0.00, 48
130477, 200, 0.00, 52, 0.00, 52
130480, 200, 0.00, 56, 0.00, 56
130483, 200, 0.00, 60, 0.00, 60
130486, 200, 0.00, 64, 0.00, 64
130489, 200, 0.00, 68, 0.00, 68
130492, 200, 0.00, 72, 0.00, 72
130495, 200, 0.00, 76, 0.00, 76
130498, 200, 0.00, 80, 0.00, 80
130501, 200, 0.00, 84, 34.93, 83
130504, 200, 0.00, 88, 34.93, 86
130507, 200, 0.00, 92, 58.59, 88
130510, 200, 46.54, 95, 73.83, 90
130513, 200, 46.54, 98, 94.19, 92
130516, 200, 72.24, 100, 94.19, 94
130519, 200, 91.80, 102, 101.10, 96
130522, 200, 104.82, 103, 130.01, 97
130525, 200, 120.73, 104, 136.89, 98
130528, 200, 129.10, 105, 141.72, 99
130531, 200, 152.00, 105, 157.16, 99
130534, 200, 159.34, 105, 166.25, 99
130537, 200, 173.88, 105, 180.86, 99
130540, 200, 176.55, 105, 195.39, 99
130543, 200, 190.80, 105, 191.24, 99
130546, 200, 196.19, 105, 210.84, 98
130549, 200, 206.27, 104, 211.91, 97
130552, 200, 211.37, 103, 217.72, 96
130555, 200, 225.53, 102, 237.59, 95
130558, 200, 232.61, 101, 231.64, 94
130561, 200, 241.20, 100, 240.85, 93
130574, 200, 263.30, 98, 254.26, 91
130577, 200, 268.82, 96, 262.05, 89
130580, 200, 265.82, 94, 270.78, 87
130583, 200, 273.22, 92, 264.55, 85
130586, 200, 281.53, 90, 281.06, 83
130589, 200, 279.64, 88, 283.69, 81
130592, 200, 287.60, 86, 277.78, 79
130595, 200, 292.40, 84, 273.90, 77
130598, 200, 290.61, 82, 273.00, 75
130601, 200, 284.90, 80, 284.90, 73
130604, 200, 286.12, 78, 289.60, 71
130607, 200, 294.46, 76, 290.11, 69
130610, 200, 288.10, 74, 276.17, 67
130613, 200, 293.43, 72, 278.24, 65
130616, 200, 294.20, 70, 284.41, 63
130619, 200, 290.87, 68, 273.00, 61
130622, 200, 282.49, 66, 285.63, 59
130625, 200, 284.41, 64, 283.93, 57
130628, 200, 289.86, 62, 271.89, 55
130631, 200, 279.64, 60, 266.24, 53
130634, 200, 283.45, 58, 261.44, 51
130637, 200, 282.25, 56, 267.95, 49
130640, 200, 276.85, 54, 268.82, 47
130643, 200, 266.88, 52, 257.20, 45
130646, 200, 267.31, 50, 250.82, 44
130649, 200, 268.38, 48, 245.46, 43
130652, 200, 264.34, 46, 254.26, 41
130655, 200, 255.04, 44, 240.85, 40
130658, 200, 248.94, 43, 236.07, 39
130661, 200, 246.18, 42, 237.76, 38
130664, 200, 245.46, 41, 237.59, 37
130667, 200, 234.08, 40, 226.30, 36
130670, 200, 231.96, 39, 225.53, 35
130673, 200, 231.80, 38, 224.77, 34
130676, 200, 219.73, 37, 212.31, 33
130679, 200, 216.59, 36, 210.97, 32
130682, 200, 215.05, 35, 201.65, 31
130685, 200, 203.75, 34, 195.27, 31
130688, 200, 199.96, 34, 200.80, 30
130691, 200, 196.77, 34, 186.43, 30
130704, 200, 172.80, 34, 172.80, 30
130707, 200, 164.20, 34, 160.10, 30
130710, 200, 157.98, 34, 159.95, 30
130713, 200, 154.04, 34, 155.69, 30
130716, 200, 153.12, 34, 146.07, 31
130719, 200, 142.45, 35, 149.34, 32
130722, 200, 143.31, 36, 138.20, 33
130725, 200, 136.95, 37, 139.41, 34
130728, 200, 133.87, 38, 133.76, 35
130731, 200, 132.22, 39, 126.69, 36
130734, 200, 125.93, 40, 129.95, 37
130737, 200, 126.65, 41, 120.21, 38
130740, 200, 121.92, 42, 121.74, 39
130743, 200, 120.03, 43, 118.37, 40
130746, 200, 120.86, 44, 112.76, 41
130749, 200, 118.88, 45, 116.31, 42
130752, 200, 115.02, 46, 109.11, 43
130755, 200, 116.51, 47, 109.83, 44
130758, 200, 113.07, 48, 112.23, 45
130761, 200, 112.54, 49, 110.30, 46
130764, 200, 114.78, 50, 105.55, 47
130767, 200, 114.74, 51, 111.33, 48
130770, 200, 111.89, 52, 104.99, 49
130773, 200, 115.22, 53, 107.11, 50
130776, 200, 113.80, 54, 107.11, 51
130779, 200, 114.04, 55, 110.60, 52
130782, 200, 117.33, 56, 110.01, 53
130785, 200, 116.06, 57, 107.91, 54
130788, 200, 120.51, 58, 114.82, 55
130791, 200, 118.88, 59, 113.38, 56
130794, 200, 120.21, 60, 119.82, 57
130797, 200, 124.24, 61, 119.60, 58
130800, 200, 125.17, 62, 118.12, 59
130803, 200, 122.91, 63, 125.36, 60
130806, 200, 128.30, 64, 120.42, 61
130809, 200, 126.98, 65, 125.45, 62
130812, 200, 132.91, 66, 131.86, 63
130815, 200, 136.05, 67, 133.17, 64
130818, 200, 134.68, 68, 139.24, 65
130821, 200, 140.65, 69, 135.72, 66
130824, 200, 142.03, 70, 141.24, 67
130837, 200, 151.79, 70, 155.26, 67
130840, 200, 157.38, 70, 161.34, 67
130843, 200, 158.50, 70, 158.20, 67
130846, 200, 163.56, 70, 160.72, 67
130849, 200, 160.72, 70, 165.43, 67
130852, 200, 165.84, 70, 172.18, 67
130855, 200, 168.10, 70, 167.93, 67
130858, 200, 170.24, 70, 169.98, 67
130861, 200, 167.00, 70, 173.52, 67
130864, 200, 171.73, 70, 180.28, 67
130867, 200, 173.97, 70, 188.22, 67
130870, 200, 177.21, 70, 178.54, 67
130873, 200, 172.89, 70, 190.59, 67
130876, 200, 178.64, 70, 184.37, 67
130879, 200, 175.99, 70, 193.35, 67
130882, 200, 181.06, 70, 187.06, 67
130885, 200, 180.18, 70, 191.79, 67
130888, 200, 185.60, 70, 195.85, 67
130891, 200, 180.67, 70, 184.88, 67
130894, 200, 182.05, 70, 196.89, 67
130897, 200, 188.01, 70, 189.83, 67
130900, 200, 188.96, 70, 198.53, 67
130903, 200, 191.02, 70, 194.70, 67
130906, 200, 188.22, 70, 199.72, 67
130909, 200, 191.79, 70, 204.88, 66
130912, 200, 188.75, 70, 202.51, 65
130915, 200, 191.68, 70, 210.17, 64
130918, 200, 195.50, 70, 204.37, 63
